Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	156.8289	19.9277	1.0079	1.3142	0.2256	0.8658	0.8488	1.1664	1.1417	0.4009	0.3998	0.001
2	315.1129	13.0971	0.798	1.0694	0.4873	0.8217	0.8063	1.1269	1.0903	0.4408	0.4527	0.001
3	473.4556	11.6279	0.748	1.0106	0.5421	0.811	0.8003	1.1087	1.0871	0.4587	0.4559	0.001
4	630.6157	10.923	0.7174	0.9758	0.573	0.7715	0.7622	1.0748	1.047	0.4913	0.4953	0.001
5	787.8513	10.5965	0.7018	0.9569	0.5894	0.7669	0.7442	1.0666	1.0287	0.4991	0.5128	0.001
6	946.2642	10.2898	0.6905	0.9458	0.5989	0.7719	0.7678	1.0738	1.0562	0.4923	0.4864	0.001
7	1104.6319	10.1019	0.6775	0.9321	0.6104	0.8038	0.7832	1.1143	1.073	0.4533	0.47	0.001
8	1263.3635	9.7766	0.6708	0.9223	0.6186	0.7978	0.7771	1.1046	1.0736	0.4628	0.4694	0.001
9	1420.7824	9.6639	0.6655	0.9171	0.6229	0.7678	0.7463	1.0693	1.0372	0.4966	0.5047	0.001
10	1577.4142	9.7028	0.6626	0.9153	0.6244	0.8036	0.7791	1.1157	1.0774	0.4519	0.4656	0.001
11	1734.4098	9.5216	0.662	0.9163	0.6236	0.8039	0.7791	1.1121	1.0756	0.4554	0.4674	0.001
12	1892.3897	9.5784	0.6578	0.9118	0.6272	0.7563	0.7435	1.0569	1.0344	0.5082	0.5074	0.001
13	2049.446	9.4438	0.657	0.9074	0.6308	0.784	0.747	1.0916	1.0422	0.4753	0.4999	0.0009
14	2207.0661	9.1063	0.6406	0.8902	0.6447	0.79	0.7501	1.0941	1.049	0.4729	0.4934	0.0009
15	2364.539	9.1071	0.64	0.8913	0.6438	0.751	0.7109	1.0495	1.0025	0.515	0.5373	0.0009
16	2521.9526	8.9874	0.6406	0.8904	0.6445	0.8056	0.77	1.1129	1.0665	0.4547	0.4763	0.00081
17	2680.235	8.7937	0.6276	0.8776	0.6547	0.7714	0.7321	1.0768	1.0239	0.4895	0.5174	0.00081
18	2839.0154	8.672	0.6313	0.8797	0.6531	0.7702	0.7426	1.0794	1.038	0.487	0.504	0.00081
19	2997.3137	8.6515	0.6245	0.8751	0.6567	0.7761	0.7313	1.084	1.031	0.4826	0.5106	0.000729
20	3156.828	8.5573	0.6183	0.867	0.663	0.7598	0.7141	1.0628	1.0111	0.5027	0.5294	0.000729
21	3313.9968	8.4062	0.6172	0.867	0.663	0.7693	0.7252	1.0748	1.0232	0.4914	0.518	0.000729
22	3472.2023	8.3877	0.6133	0.862	0.6668	0.758	0.7165	1.0644	1.0147	0.5011	0.526	0.000729
23	3628.3985	8.4299	0.6149	0.8593	0.6689	0.7943	0.7465	1.1019	1.0374	0.4653	0.5045	0.0006561
