Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	153.7868	18.7385	0.9947	1.3031	0.2623	14.0558	0.8584	0.8207	1.1286	1.0973	0.4452	0.456	0.001
2	308.1509	13.8069	0.8395	1.1186	0.4565	13.4738	0.8339	0.8001	1.105	1.0727	0.4682	0.4802	0.001
3	462.1559	12.359	0.7855	1.0583	0.5135	13.2102	0.8224	0.7837	1.0941	1.0536	0.4786	0.4985	0.001
4	616.2008	11.8312	0.7654	1.0354	0.5342	13.2159	0.8292	0.7907	1.0944	1.0579	0.4783	0.4944	0.001
5	770.4417	11.3763	0.7481	1.0153	0.5522	13.196	0.8241	0.7863	1.0935	1.0544	0.4791	0.4977	0.001
6	924.6505	11.0128	0.7322	0.999	0.5665	13.051	0.8103	0.7616	1.0875	1.0255	0.4848	0.5249	0.001
7	1078.7811	10.5498	0.7147	0.9778	0.5847	13.0074	0.8165	0.7712	1.0857	1.0433	0.4866	0.5082	0.001
8	1233.8018	10.4877	0.7114	0.9749	0.5871	13.0651	0.8142	0.7627	1.0881	1.0326	0.4843	0.5183	0.001
9	1386.2482	10.3406	0.7046	0.968	0.5929	13.0061	0.8161	0.7642	1.0856	1.0381	0.4866	0.5131	0.001
10	1539.6188	10.1203	0.6939	0.9577	0.6016	12.9462	0.8143	0.7667	1.0831	1.031	0.489	0.5197	0.001
11	1693.6251	10.2059	0.6947	0.9617	0.5982	12.9407	0.8025	0.7577	1.0829	1.025	0.4892	0.5253	0.001
12	1846.3555	10.0123	0.6886	0.9525	0.6059	13.0669	0.8128	0.7675	1.0882	1.0288	0.4842	0.5218	0.001
13	2000.3394	9.7353	0.6791	0.9393	0.6168	12.6008	0.8047	0.7632	1.0686	1.0219	0.5026	0.5282	0.0009000000000000001
14	2155.2985	9.597	0.6715	0.9326	0.6222	13.2011	0.8038	0.7571	1.0937	1.0266	0.4789	0.5239	0.0009000000000000001
15	2309.8403	9.8737	0.679	0.9459	0.6113	12.8905	0.7951	0.7603	1.0808	1.0446	0.4912	0.507	0.0009000000000000001
16	2465.4778	9.5175	0.6671	0.9287	0.6253	12.7702	0.7941	0.7603	1.0757	1.0319	0.4959	0.519	0.0008100000000000001
17	2621.1582	9.4008	0.6638	0.923	0.6299	12.3552	0.7784	0.7512	1.0581	1.0202	0.5123	0.5298	0.0008100000000000001
18	2776.3078	9.3856	0.6613	0.9222	0.6305	12.8267	0.7979	0.7616	1.0781	1.0369	0.4937	0.5143	0.0008100000000000001
19	2931.976	9.1724	0.652	0.9117	0.6389	12.6452	0.7839	0.7549	1.0705	1.0288	0.5009	0.5218	0.000729
20	3085.9512	9.1473	0.6488	0.9104	0.6399	12.5448	0.7855	0.7495	1.0662	1.0159	0.5048	0.5337	0.000729
21	3241.2133	9.0028	0.6438	0.9032	0.6456	12.6808	0.7862	0.7502	1.072	1.0176	0.4995	0.5322	0.000729
22	3395.5419	8.973	0.6419	0.9017	0.6468	12.5996	0.7921	0.759	1.0685	1.0327	0.5027	0.5181	0.000729
23	3550.0979	8.8362	0.6334	0.8948	0.6521	12.9048	0.796	0.7602	1.0814	1.0344	0.4906	0.5166	0.0006561000000000001
