Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
78	17810.3552	5.3452	0.4652	0.696	0.7896	0.6999	0.6963	1.0396	0.9948	0.5091	0.5715	0.000121577
79	18037.2089	5.442	0.4665	0.7022	0.7858	0.69	0.6989	1.0378	0.9987	0.5108	0.5681	0.000109419
80	18266.0291	5.3087	0.4603	0.6936	0.791	0.6874	0.6868	1.031	0.9882	0.5172	0.5772	0.000109419
81	18494.0174	5.2964	0.4576	0.6928	0.7915	0.6908	0.6866	1.0198	0.9886	0.5276	0.5768	0.000109419
82	18721.7313	5.3037	0.4599	0.6933	0.7912	0.6991	0.6842	1.0383	0.9876	0.5104	0.5777	0.000109419
83	18950.128	5.2722	0.4571	0.6912	0.7925	0.6909	0.6917	1.0299	0.9877	0.5182	0.5776	9.85E-05
84	19178.6754	5.1311	0.4517	0.6819	0.798	0.6875	0.6814	1.026	0.9835	0.5218	0.5812	9.85E-05
85	19406.5916	5.1021	0.451	0.68	0.7992	0.6927	0.6835	1.0403	0.9904	0.5085	0.5753	9.85E-05
86	19640.0959	5.1352	0.4516	0.6822	0.7979	0.6882	0.6843	1.0258	0.9805	0.522	0.5837	8.86E-05
87	19867.6627	4.9473	0.4418	0.6696	0.8053	0.6852	0.6813	1.0259	0.9909	0.5219	0.5749	8.86E-05
88	20095.9365	4.9671	0.4433	0.6709	0.8045	0.6843	0.6813	1.0225	0.9806	0.5251	0.5836	8.86E-05
89	20325.8764	4.9897	0.4419	0.6724	0.8036	0.6831	0.6808	1.0286	0.9835	0.5194	0.5812	7.98E-05
90	20553.3763	4.8965	0.4381	0.6661	0.8072	0.6806	0.6856	1.0185	0.993	0.5288	0.573	7.98E-05
91	20782.956	4.829	0.4347	0.6615	0.8099	0.6905	0.686	1.0299	0.9915	0.5182	0.5743	7.98E-05
92	21010.5986	4.7249	0.4338	0.6543	0.814	0.6771	0.6855	1.0177	0.9991	0.5296	0.5678	7.98E-05
93	21240.4331	4.8588	0.4334	0.6636	0.8087	0.6835	0.6847	1.0254	0.9907	0.5224	0.5751	7.18E-05
94	21467.9612	4.8108	0.4355	0.6603	0.8106	0.6758	0.6723	1.0175	0.9696	0.5297	0.5929	7.18E-05
95	21695.2237	4.6341	0.4301	0.648	0.8176	0.6804	0.6774	1.027	0.9831	0.521	0.5815	7.18E-05
96	21923.5832	4.6914	0.4299	0.652	0.8153	0.6851	0.6768	1.0258	0.9781	0.5221	0.5858	6.46E-05
97	22151.1203	4.5756	0.424	0.6439	0.8199	0.6815	0.6774	1.0247	0.9808	0.5231	0.5835	6.46E-05
98	22379.2732	4.5973	0.4238	0.6454	0.819	0.678	0.6797	1.0146	0.9836	0.5325	0.5811	6.46E-05
99	22574.2278	4.5219	0.4203	0.6401	0.822	0.6764	0.678	1.012	0.9826	0.5348	0.5819	5.81E-05
100	22727.9569	4.4783	0.4179	0.637	0.8247	0.6745	0.6734	1.015	0.9802	0.532	0.5867	5.81E-05
