Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	231.6484	19.1408	1.0065	1.317	0.2465	0.8289	0.8264	1.1371	1.1157	0.4126	0.4611	0.001
2	467.8892	13.8325	0.8407	1.1196	0.4555	0.7996	0.778	1.0955	1.0546	0.4549	0.5185	0.001
3	698.0368	12.4766	0.79	1.0633	0.5089	0.7974	0.7732	1.0871	1.0411	0.4632	0.5307	0.001
4	927.1294	11.712	0.765	1.0302	0.539	0.8131	0.795	1.1253	1.0816	0.4248	0.4935	0.001
5	1155.4811	11.3795	0.7493	1.0155	0.5521	0.8163	0.801	1.1327	1.0881	0.4173	0.4874	0.001
6	1385.7502	10.7625	0.727	0.9876	0.5763	0.8046	0.7675	1.1015	1.0422	0.4489	0.5297	0.001
7	1613.6366	10.4815	0.7144	0.9746	0.5874	0.8284	0.7956	1.1218	1.0515	0.4284	0.5213	0.001
8	1840.7588	10.5931	0.7169	0.9798	0.583	0.8228	0.8063	1.1519	1.1119	0.3973	0.4647	0.001
9	2068.1756	10.4058	0.7063	0.9711	0.5904	0.8009	0.766	1.1025	1.0345	0.4479	0.5367	0.001
10	2295.8843	10.2074	0.7047	0.9618	0.5982	0.789	0.7638	1.0982	1.0512	0.4522	0.5216	0.001
11	2523.3334	9.9157	0.6905	0.9479	0.6097	0.8039	0.7783	1.1035	1.0484	0.4469	0.5241	0.001
12	2751.1134	9.8397	0.6837	0.9443	0.6127	0.7924	0.7617	1.0912	1.0303	0.4592	0.5404	0.001
13	2979.465	9.8535	0.6843	0.9449	0.6121	0.815	0.7922	1.1365	1.0905	0.4133	0.4852	0.0009
14	3206.5451	9.6104	0.6737	0.9332	0.6217	0.8051	0.7744	1.1187	1.0694	0.4316	0.5049	0.0009
15	3435.0197	9.5112	0.6647	0.9284	0.6256	0.8259	0.8019	1.1545	1.1023	0.3946	0.4739	0.0009
16	3663.2306	9.5133	0.6711	0.9285	0.6255	0.8136	0.7832	1.1359	1.0746	0.414	0.5001	0.00081
17	3891.1736	9.4511	0.6625	0.9254	0.628	0.7965	0.7716	1.0988	1.0363	0.4516	0.535	0.00081
18	4118.6007	9.3132	0.6605	0.9187	0.6334	0.8156	0.7999	1.1549	1.0992	0.3942	0.4768	0.00081
19	4346.988	9.257	0.6558	0.9159	0.6356	0.7705	0.757	1.076	1.0351	0.4741	0.5361	0.000729
20	4575.1825	8.8787	0.6403	0.897	0.6505	0.8037	0.8096	1.136	1.1153	0.4138	0.4614	0.000729
21	4803.9458	8.9884	0.6431	0.9025	0.6462	0.7727	0.7583	1.0804	1.0367	0.4698	0.5347	0.000729
22	5030.9878	8.8519	0.6381	0.8956	0.6515	0.7728	0.7606	1.0785	1.0388	0.4716	0.5328	0.000729
23	5258.7035	8.8174	0.6398	0.8939	0.6529	0.7788	0.7699	1.1009	1.0526	0.4495	0.5202	0.0006561
24	5488.2975	8.7434	0.6337	0.8901	0.6558	0.7715	0.7603	1.0977	1.0414	0.4527	0.5304	0.0006561
25	5715.6234	8.6939	0.6316	0.8876	0.6578	0.7753	0.7502	1.1	1.0339	0.4504	0.5372	0.0006561
26	5942.7408	8.757	0.6299	0.8908	0.6553	0.7647	0.7567	1.0948	1.0409	0.4556	0.5309	0.00059049
27	6169.7718	8.5734	0.6252	0.8814	0.6625	0.757	0.7487	1.0682	1.0209	0.4817	0.5487	0.00059049
28	6401.4275	8.3645	0.6134	0.8706	0.6707	0.7894	0.7687	1.1243	1.0585	0.4259	0.5149	0.00059049
29	6629.5466	8.5027	0.6194	0.8778	0.6653	0.8064	0.769	1.1318	1.0648	0.4182	0.5091	0.000531441
30	6858.4506	8.2609	0.6078	0.8652	0.6748	0.8048	0.7926	1.1465	1.099	0.4029	0.477	0.000531441
31	7085.9182	8.3553	0.6128	0.8701	0.6711	0.7773	0.764	1.1051	1.0567	0.4453	0.5165	0.000531441
32	7313.5193	8.3288	0.6082	0.8688	0.6721	0.7705	0.7524	1.1006	1.0504	0.4498	0.5223	0.000531441
33	7542.9207	8.138	0.6056	0.8588	0.6797	0.7916	0.7717	1.1229	1.0634	0.4273	0.5103	0.000478297
34	7772.3112	8.0489	0.597	0.854	0.6832	0.7564	0.751	1.071	1.031	0.479	0.5397	0.000478297
35	7999.5178	8.1306	0.6003	0.8584	0.6799	0.7625	0.7573	1.0956	1.0499	0.4548	0.5228	0.000478297
36	8227.0011	8.0309	0.5968	0.8531	0.6839	0.7706	0.77	1.0979	1.068	0.4525	0.5062	0.000430467
37	8455.0664	8.0818	0.5955	0.8558	0.6819	0.7505	0.7442	1.0757	1.0391	0.4744	0.5326	0.000430467
38	8683.1817	7.7905	0.5862	0.8402	0.6933	0.7478	0.7444	1.0682	1.0368	0.4817	0.5345	0.000430467
39	8911.2568	7.7212	0.5845	0.8365	0.6961	0.761	0.7537	1.0819	1.0436	0.4684	0.5285	0.00038742
40	9141.5839	7.7413	0.5809	0.8376	0.6953	0.7555	0.7423	1.0894	1.0402	0.4609	0.5315	0.00038742
41	9369.089	7.5488	0.5728	0.8271	0.7028	0.7532	0.7447	1.0846	1.0465	0.4656	0.5259	0.00038742
42	9601.314	7.5017	0.5704	0.8245	0.7047	0.7601	0.749	1.0922	1.0451	0.4581	0.5271	0.00038742
43	9828.9387	7.5793	0.5763	0.8288	0.7016	0.763	0.7511	1.0903	1.0475	0.46	0.5249	0.000348678
44	10056.9164	7.4846	0.5705	0.8236	0.7054	0.7492	0.7401	1.0778	1.0435	0.4724	0.5285	0.000348678
45	10284.695	7.4599	0.568	0.8222	0.7063	0.7507	0.7387	1.0825	1.0459	0.4678	0.5263	0.000348678
46	10515.5452	7.3827	0.5666	0.8179	0.7094	0.7533	0.7379	1.0826	1.0393	0.4677	0.5323	0.000313811
47	10742.4044	7.1677	0.5539	0.8059	0.7178	0.7441	0.741	1.0675	1.0372	0.4824	0.5342	0.000313811
48	10970.6935	7.2778	0.5577	0.8121	0.7135	0.7348	0.7305	1.0639	1.0262	0.4859	0.544	0.000313811
49	11198.7223	7.1884	0.5552	0.8071	0.717	0.7587	0.7468	1.0947	1.0474	0.4556	0.525	0.00028243
50	11426.6555	7.1255	0.5514	0.8036	0.7195	0.744	0.7324	1.073	1.0344	0.477	0.5368	0.00028243
51	11655.4374	7.0149	0.5486	0.7973	0.7239	0.7433	0.733	1.0783	1.0346	0.4718	0.5366	0.00028243
52	11882.9361	6.9993	0.545	0.7964	0.7245	0.7322	0.7199	1.0611	1.0192	0.4886	0.5503	0.00028243
53	12115.1006	6.9818	0.5437	0.7954	0.7252	0.7498	0.7321	1.0819	1.0251	0.4684	0.5451	0.000254187
54	12342.5807	6.8353	0.5381	0.787	0.7309	0.7373	0.7293	1.0605	1.0205	0.4891	0.5491	0.000254187
55	12569.9869	6.9421	0.5385	0.7931	0.7267	0.7284	0.726	1.0639	1.0254	0.4858	0.5448	0.000254187
56	12797.3276	6.7945	0.5327	0.7847	0.7325	0.7316	0.726	1.0623	1.0221	0.4874	0.5477	0.000228768
57	13025.6043	6.6374	0.5259	0.7755	0.7387	0.73	0.7254	1.0692	1.022	0.4807	0.5477	0.000228768
58	13254.9496	6.6386	0.5287	0.7756	0.7387	0.7295	0.7268	1.0676	1.0265	0.4823	0.5438	0.000228768
59	13483.6572	6.6587	0.5254	0.7768	0.7379	0.73	0.7208	1.0608	1.019	0.4888	0.5504	0.000205891
60	13710.5542	6.4965	0.5191	0.7673	0.7443	0.7116	0.7082	1.0515	1.0111	0.4978	0.5574	0.000205891
61	13938.2584	6.3871	0.5124	0.7608	0.7486	0.7218	0.712	1.058	1.0199	0.4916	0.5496	0.000205891
62	14165.7157	6.3335	0.5133	0.7576	0.7507	0.7399	0.7295	1.085	1.0362	0.4653	0.5351	0.000205891
63	14393.4866	6.3527	0.5132	0.7587	0.7499	0.7238	0.7153	1.0685	1.0172	0.4814	0.552	0.000185302
64	14620.3689	6.2055	0.5061	0.7499	0.7557	0.7156	0.7099	1.0598	1.0126	0.4899	0.556	0.000185302
65	14848.5406	6.1826	0.5042	0.7485	0.7566	0.7314	0.7177	1.0732	1.0145	0.4768	0.5544	0.000185302
66	15075.7867	6.1654	0.5049	0.7475	0.7573	0.721	0.7089	1.0653	1.0113	0.4846	0.5572	0.000166772
67	15303.9728	6.0356	0.4959	0.7396	0.7624	0.7105	0.6993	1.0529	0.9981	0.4965	0.5687	0.000166772
68	15532.1185	6.0457	0.4947	0.7402	0.762	0.7163	0.7079	1.063	1.0121	0.4867	0.5565	0.000166772
69	15759.8586	5.9513	0.4929	0.7344	0.7657	0.7126	0.7124	1.0529	1.0113	0.4965	0.5572	0.000150095
70	15987.225	5.8844	0.4895	0.7302	0.7684	0.6998	0.7016	1.033	0.9993	0.5153	0.5676	0.000150095
71	16217.2543	5.8422	0.4876	0.7276	0.77	0.704	0.7041	1.0387	0.9971	0.51	0.5696	0.000150095
72	16445.5979	5.7933	0.4843	0.7246	0.772	0.7035	0.7035	1.0476	1.006	0.5015	0.5618	0.000150095
73	16672.8216	5.8794	0.4857	0.7299	0.7686	0.7114	0.7027	1.0537	1.0052	0.4957	0.5625	0.000135085
74	16900.2067	5.7045	0.4786	0.719	0.7754	0.6988	0.6932	1.0379	0.994	0.5107	0.5722	0.000135085
75	17127.5791	5.5027	0.4715	0.7062	0.7834	0.6941	0.6994	1.0357	1.0054	0.5128	0.5623	0.000135085
76	17354.8502	5.6042	0.4737	0.7126	0.7794	0.694	0.6955	1.0302	1.0011	0.5179	0.5661	0.000121577
77	17582.7164	5.5817	0.4732	0.7112	0.7803	0.6883	0.6904	1.0291	0.9887	0.519	0.5768	0.000121577
