Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
40	8171.2239	14.1012	0.8331	1.1304	0.4449	19.9737	1.0262	1.0153	1.3454	1.3234	0.2116	0.2087	0.000387420489
41	8375.2932	14.0841	0.8342	1.1297	0.4456	20.7205	1.0361	1.0472	1.3703	1.3642	0.1821	0.1593	0.000387420489
42	8579.9153	14.1613	0.836	1.1328	0.4425	19.8882	1.0226	1.0234	1.3425	1.3361	0.215	0.1934	0.000387420489
43	8785.4543	14.0664	0.833	1.129	0.4463	20.126	1.0236	1.0176	1.3505	1.3313	0.2056	0.1993	0.0003486784401
44	8989.814	14.1076	0.8333	1.1307	0.4446	20.2055	1.0228	1.0289	1.3531	1.3414	0.2024	0.1871	0.0003486784401
45	9194.1943	14.142	0.8327	1.132	0.4433	20.3911	1.0245	1.031	1.3593	1.3463	0.1951	0.1812	0.0003486784401
46	9398.954	14.0597	0.831	1.1288	0.4465	20.2981	1.0264	1.0314	1.3562	1.3446	0.1988	0.1831	0.00031381059609000004
47	9603.3375	13.9342	0.8278	1.1237	0.4515	20.2163	1.0249	1.0303	1.3535	1.3457	0.202	0.1818	0.00031381059609000004
48	9808.8692	13.9383	0.8246	1.1239	0.4513	19.8715	1.0178	1.0237	1.3419	1.3344	0.2156	0.1955	0.00031381059609000004
49	10013.3761	13.9424	0.8256	1.124	0.4511	19.828	1.0168	1.018	1.3404	1.3348	0.2173	0.1951	0.00028242953648100003
50	10218.0038	13.9522	0.8243	1.1244	0.4508	19.9236	1.0145	1.0188	1.3437	1.3292	0.2136	0.2017	0.00028242953648100003
51	10423.4096	13.7868	0.8207	1.1177	0.4573	20.2589	1.0184	1.0271	1.3549	1.3391	0.2003	0.1898	0.00028242953648100003
52	10628.4102	13.8759	0.8217	1.1213	0.4538	20.0127	1.0143	1.0234	1.3467	1.335	0.21	0.1948	0.00028242953648100003
53	10832.9301	13.7905	0.8206	1.1179	0.4571	19.8116	1.0124	1.0176	1.3399	1.3224	0.218	0.2099	0.00025418658283290005
54	11038.6445	13.6374	0.8154	1.1117	0.4631	19.9514	1.0182	1.0184	1.3446	1.3285	0.2125	0.2026	0.00025418658283290005
55	11242.9413	13.7395	0.8189	1.1158	0.4591	19.6353	1.0097	1.0087	1.3339	1.3195	0.2249	0.2133	0.00025418658283290005
56	11447.947	13.8653	0.8207	1.1209	0.4542	19.6672	1.0075	1.0134	1.335	1.3268	0.2237	0.2046	0.00022876792454961005
57	11652.0127	13.7582	0.8172	1.1166	0.4584	19.7641	1.0097	1.0131	1.3383	1.3197	0.2199	0.2131	0.00022876792454961005
58	11856.4594	13.763	0.8181	1.1168	0.4582	19.3857	1.0008	1.001	1.3254	1.3097	0.2348	0.2251	0.00022876792454961005
59	12059.1603	13.6806	0.814	1.1134	0.4614	19.6767	1.0064	1.0137	1.3353	1.3203	0.2233	0.2125	0.00020589113209464906
60	12263.8509	13.6582	0.8122	1.1125	0.4623	19.6149	1.0024	1.0039	1.3332	1.3168	0.2257	0.2166	0.00020589113209464906
61	12467.608	13.6706	0.8125	1.113	0.4618	19.451	0.9979	1.0047	1.3276	1.3146	0.2322	0.2192	0.00020589113209464906
62	12671.7931	13.7272	0.8156	1.1153	0.4596	18.9291	0.9863	0.9872	1.3097	1.2904	0.2528	0.2477	0.00020589113209464906
63	12876.2671	13.8183	0.8179	1.119	0.456	18.9578	0.9873	0.9914	1.3107	1.2968	0.2517	0.2402	0.00018530201888518417
64	13081.0197	13.7605	0.8162	1.1167	0.4583	18.9459	0.9876	0.9836	1.3103	1.2864	0.2522	0.2523	0.00018530201888518417
65	13286.7235	13.7276	0.8138	1.1153	0.4596	18.7463	0.9817	0.9793	1.3034	1.2863	0.26	0.2525	0.00018530201888518417
66	13490.9529	13.7521	0.8155	1.1163	0.4586	18.7451	0.9841	0.974	1.3033	1.2773	0.2601	0.2629	0.00016677181699666576
67	13696.2737	13.7751	0.8173	1.1173	0.4577	18.8549	0.9819	0.9882	1.3071	1.2948	0.2557	0.2426	0.00016677181699666576
68	13901.0672	13.702	0.8158	1.1143	0.4606	19.0273	0.9912	0.9825	1.3131	1.2842	0.2489	0.2549	0.00016677181699666576
69	14105.0684	13.7083	0.8162	1.1146	0.4604	18.6805	0.9782	0.9873	1.3011	1.29	0.2626	0.2482	0.0001500946352969992
70	14309.5781	13.8243	0.818	1.1193	0.4558	18.3836	0.9733	0.9731	1.2907	1.2704	0.2743	0.2708	0.0001500946352969992
71	14514.7274	13.7241	0.8124	1.1152	0.4597	18.5202	0.9767	0.9741	1.2955	1.2772	0.269	0.2631	0.0001500946352969992
72	14718.4266	13.6545	0.8105	1.1124	0.4625	18.2693	0.9701	0.9663	1.2867	1.2645	0.2789	0.2776	0.0001500946352969992
73	14923.1547	13.6936	0.8119	1.114	0.4609	18.2349	0.968	0.9619	1.2855	1.2629	0.2802	0.2795	0.0001350851717672993
74	15127.1994	13.6285	0.8111	1.1113	0.4635	18.2233	0.9704	0.9601	1.2851	1.2615	0.2807	0.281	0.0001350851717672993
75	15330.6556	13.6925	0.8103	1.1139	0.461	18.3729	0.9738	0.9616	1.2903	1.2676	0.2748	0.274	0.0001350851717672993
76	15535.389	13.6417	0.8096	1.1118	0.463	18.3401	0.9731	0.9636	1.2892	1.2697	0.2761	0.2717	0.00012157665459056936
77	15740.1598	13.7141	0.8142	1.1148	0.4601	18.3535	0.9744	0.9614	1.2896	1.2671	0.2755	0.2746	0.00012157665459056936
78	15944.4889	13.6795	0.8109	1.1134	0.4615	18.3152	0.9716	0.9634	1.2883	1.2683	0.2771	0.2732	0.00012157665459056936
79	16149.1816	13.7404	0.8145	1.1159	0.4591	18.3527	0.9732	0.9598	1.2896	1.2633	0.2756	0.279	0.00010941898913151243
80	16352.5163	13.6841	0.812	1.1136	0.4613	18.2691	0.9731	0.9636	1.2867	1.2672	0.2789	0.2746	0.00010941898913151243
81	16557.1533	13.6987	0.8121	1.1142	0.4607	18.3436	0.9699	0.9586	1.2893	1.2653	0.2759	0.2767	0.00010941898913151243
82	16761.4265	13.7392	0.811	1.1158	0.4591	18.3008	0.9717	0.9603	1.2878	1.2657	0.2776	0.2762	0.00010941898913151243
83	16965.8403	13.7818	0.8127	1.1175	0.4575	18.1584	0.9684	0.9611	1.2828	1.2655	0.2832	0.2764	9.847709021836118e-05
84	17169.3891	13.7209	0.8126	1.1151	0.4599	18.2798	0.9719	0.9622	1.2871	1.2669	0.2784	0.2749	9.847709021836118e-05
85	17372.8891	13.7531	0.8141	1.1164	0.4586	18.0606	0.9661	0.956	1.2793	1.2607	0.2871	0.282	9.847709021836118e-05
86	17577.9259	13.7845	0.8161	1.1176	0.4574	17.9518	0.9664	0.9556	1.2754	1.2592	0.2914	0.2837	8.862938119652506e-05
87	17782.4321	13.8139	0.8161	1.1188	0.4562	17.9311	0.9642	0.9549	1.2747	1.2565	0.2922	0.2867	8.862938119652506e-05
88	17985.6248	13.8594	0.8169	1.1207	0.4544	18.0399	0.9664	0.9562	1.2786	1.2601	0.2879	0.2827	8.862938119652506e-05
89	18189.8121	13.7671	0.8125	1.1169	0.458	17.8759	0.964	0.9468	1.2728	1.247	0.2944	0.2974	7.976644307687256e-05
90	18394.2619	13.7588	0.8129	1.1166	0.4584	17.8157	0.961	0.9499	1.2706	1.2532	0.2968	0.2905	7.976644307687256e-05
91	18598.8973	13.6317	0.8095	1.1114	0.4634	17.8239	0.9603	0.9467	1.2709	1.251	0.2964	0.2929	7.976644307687256e-05
92	18802.194	13.6408	0.808	1.1118	0.463	18.0052	0.965	0.9507	1.2773	1.2563	0.2893	0.2869	7.976644307687256e-05
93	19005.9096	13.7206	0.8123	1.1151	0.4599	17.9743	0.9653	0.9497	1.2763	1.2537	0.2905	0.2899	7.17897987691853e-05
94	19209.9017	13.7231	0.8106	1.1152	0.4598	17.8973	0.9615	0.9504	1.2735	1.2533	0.2935	0.2903	7.17897987691853e-05
95	19415.5572	13.6222	0.8077	1.111	0.4637	17.8767	0.9617	0.9466	1.2728	1.2478	0.2944	0.2966	7.17897987691853e-05
96	19619.2809	13.6997	0.8086	1.1142	0.4607	17.9287	0.965	0.9483	1.2746	1.2497	0.2923	0.2944	6.461081889226677e-05
97	19823.5942	13.6373	0.8068	1.1117	0.4631	17.9239	0.9622	0.947	1.2745	1.2503	0.2925	0.2938	6.461081889226677e-05
98	20029.1289	13.6388	0.8084	1.1117	0.4631	18.0709	0.9646	0.9466	1.2797	1.2516	0.2867	0.2923	6.461081889226677e-05
99	20233.6201	13.7169	0.8108	1.1149	0.46	17.9593	0.9641	0.9484	1.2757	1.2524	0.2911	0.2914	5.81497370030401e-05
100	20439.1501	13.6874	0.8072	1.1137	0.4612	17.9373	0.961	0.9467	1.2749	1.2483	0.292	0.296	5.81497370030401e-05
