Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	204.5109	24.0808	1.1569	1.4772	0.052	21.2695	1.078	1.0534	1.3883	1.3565	0.1604	0.1686	0.001
2	408.2747	21.8074	1.0956	1.4058	0.1415	20.4314	1.0518	1.0353	1.3607	1.3422	0.1935	0.186	0.001
3	612.8781	20.6966	1.0576	1.3695	0.1852	20.0739	1.0439	1.0322	1.3487	1.3429	0.2076	0.1852	0.001
4	816.7143	19.9945	1.0348	1.3461	0.2129	19.2352	1.0108	1.025	1.3203	1.3272	0.2407	0.2041	0.001
5	1021.5147	19.3746	1.0177	1.325	0.2373	19.0899	1.0028	0.998	1.3153	1.3024	0.2465	0.2337	0.001
6	1226.1166	19.0365	1.0043	1.3134	0.2506	19.0153	1.0031	0.9989	1.3127	1.3034	0.2494	0.2325	0.001
7	1430.2191	18.7317	0.9937	1.3029	0.2626	19.065	1.008	1.001	1.3144	1.2986	0.2475	0.2381	0.001
8	1634.9557	18.3762	0.9839	1.2904	0.2766	19.0768	1.0075	1.0082	1.3148	1.3113	0.247	0.2231	0.001
9	1838.6344	18.1924	0.9764	1.284	0.2838	18.7235	1.0002	0.9886	1.3026	1.2886	0.2609	0.2498	0.001
10	2042.9365	18.0286	0.9686	1.2782	0.2903	19.2359	1.0114	1.0231	1.3203	1.3325	0.2407	0.1978	0.001
11	2245.6607	17.8577	0.9653	1.2721	0.297	18.8194	1.002	0.9964	1.3059	1.2938	0.2571	0.2437	0.001
12	2449.9793	17.6343	0.9558	1.2641	0.3058	19.1698	1.0135	1.0	1.318	1.3049	0.2433	0.2308	0.001
13	2654.0845	17.483	0.9572	1.2587	0.3118	19.5907	1.0272	1.0188	1.3324	1.3242	0.2267	0.2078	0.0009000000000000001
14	2859.3931	17.1462	0.9386	1.2465	0.325	19.098	1.0035	0.9978	1.3155	1.3101	0.2462	0.2246	0.0009000000000000001
15	3063.7702	16.9614	0.9326	1.2398	0.3323	19.1638	1.0076	1.0126	1.3178	1.3254	0.2436	0.2064	0.0009000000000000001
16	3268.6547	16.7383	0.9291	1.2316	0.3411	19.3184	1.0108	1.0087	1.3231	1.3185	0.2374	0.2146	0.0008100000000000001
17	3472.662	16.3013	0.9132	1.2154	0.3583	19.1916	0.9976	0.9948	1.3188	1.3146	0.2425	0.2192	0.0008100000000000001
18	3676.585	16.2439	0.9075	1.2133	0.3605	19.1936	1.0019	1.0009	1.3188	1.3133	0.2424	0.2208	0.0008100000000000001
19	3881.0318	16.1844	0.9085	1.211	0.3629	19.6836	1.0142	1.0164	1.3356	1.3359	0.223	0.1938	0.000729
20	4084.4943	16.005	0.8992	1.2043	0.3699	19.6066	1.0196	1.0208	1.3329	1.3328	0.2261	0.1975	0.000729
21	4289.0904	15.8194	0.895	1.1973	0.3772	19.915	1.0244	1.0181	1.3434	1.3328	0.2139	0.1974	0.000729
22	4494.1025	15.6835	0.8889	1.1922	0.3826	19.3831	1.0032	0.988	1.3253	1.309	0.2349	0.2258	0.000729
23	4697.5369	15.3939	0.882	1.1811	0.394	19.6736	1.013	1.0012	1.3352	1.3178	0.2234	0.2154	0.0006561000000000001
24	4901.263	15.3165	0.8785	1.1781	0.397	19.8899	1.0189	1.009	1.3425	1.3194	0.2149	0.2136	0.0006561000000000001
25	5106.6017	15.2865	0.8761	1.177	0.3982	19.9815	1.0215	1.0021	1.3456	1.3138	0.2113	0.2201	0.0006561000000000001
26	5310.8331	15.3482	0.8774	1.1793	0.3958	20.0085	1.0253	1.0127	1.3465	1.3233	0.2102	0.2089	0.00059049
27	5514.7606	15.0958	0.8684	1.1696	0.4057	19.9981	1.022	1.0046	1.3462	1.3115	0.2106	0.2229	0.00059049
28	5720.0161	14.8948	0.8612	1.1618	0.4136	19.6338	1.0146	0.9951	1.3339	1.2982	0.225	0.2385	0.00059049
29	5924.2128	14.9369	0.8669	1.1634	0.412	20.0233	1.0228	1.0177	1.347	1.3274	0.2096	0.204	0.000531441
30	6128.4627	14.684	0.8549	1.1535	0.4219	20.5294	1.0443	1.0387	1.3639	1.3445	0.1896	0.1833	0.000531441
31	6332.0143	14.6093	0.8504	1.1506	0.4249	20.1039	1.026	1.0114	1.3497	1.3214	0.2064	0.2112	0.000531441
32	6536.0052	14.5439	0.8512	1.148	0.4275	20.7868	1.0428	1.0421	1.3725	1.3535	0.1795	0.1724	0.000531441
33	6740.2879	14.6092	0.8541	1.1506	0.4249	20.3193	1.0304	1.0239	1.3569	1.3366	0.1979	0.1929	0.0004782969
34	6944.9423	14.4887	0.8473	1.1458	0.4296	20.2478	1.033	1.0197	1.3546	1.3325	0.2008	0.1978	0.0004782969
35	7148.0717	14.4889	0.8453	1.1459	0.4296	19.9852	1.0256	1.0206	1.3457	1.3274	0.2111	0.2039	0.0004782969
36	7352.1587	14.3464	0.8464	1.1402	0.4352	20.4031	1.0413	1.0334	1.3597	1.3405	0.1946	0.1881	0.00043046721
37	7557.388	14.2619	0.8413	1.1368	0.4386	20.0955	1.0282	1.0207	1.3495	1.3274	0.2068	0.2039	0.00043046721
38	7762.2619	14.3152	0.8428	1.139	0.4365	20.1519	1.0314	1.0256	1.3514	1.3368	0.2045	0.1926	0.00043046721
39	7967.8562	14.2106	0.8371	1.1348	0.4406	20.274	1.0354	1.0253	1.3554	1.3405	0.1997	0.1882	0.000387420489
