Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	151.865	20.0635	1.0346	1.3484	0.2001	0.8319	0.8561	1.117	1.1553	0.4123	0.4255	0.001
2	302.3307	12.6368	0.7977	1.0701	0.4962	0.7857	0.796	1.0668	1.0893	0.4775	0.476	0.001
3	454.6794	11.2301	0.7408	1.0088	0.5523	0.7698	0.7727	1.0546	1.0681	0.4977	0.4879	0.001
4	607.0521	10.4178	0.709	0.9716	0.5846	0.7857	0.7811	1.0739	1.0816	0.4849	0.469	0.001
5	759.8873	9.9389	0.691	0.949	0.6037	0.7521	0.7677	1.041	1.0629	0.5025	0.5011	0.001
6	911.1483	9.6564	0.678	0.9354	0.615	0.7606	0.7708	1.0493	1.0697	0.4962	0.4931	0.001
7	1063.5369	9.4447	0.6667	0.9251	0.6234	0.7518	0.7674	1.035	1.0668	0.4989	0.5068	0.001
8	1215.7715	9.2828	0.6602	0.9172	0.6299	0.7414	0.7612	1.031	1.0597	0.5055	0.5106	0.001
9	1368.627	9.0673	0.6527	0.9065	0.6385	0.7605	0.787	1.0558	1.0895	0.4774	0.4868	0.001
10	1521.5638	8.9585	0.6469	0.901	0.6428	0.7511	0.7798	1.0415	1.0796	0.4868	0.5006	0.001
11	1673.5242	8.7562	0.6365	0.8908	0.6509	0.7587	0.7847	1.0542	1.0882	0.4786	0.4883	0.001
12	1826.0618	8.7422	0.6362	0.8901	0.6514	0.7558	0.7766	1.0541	1.0785	0.4878	0.4885	0.001
13	1978.3902	8.6664	0.6351	0.8862	0.6545	0.7646	0.7893	1.0596	1.0933	0.4737	0.483	0.0009
14	2130.4975	8.3946	0.6187	0.8722	0.6653	0.7703	0.7919	1.0658	1.0961	0.471	0.477	0.0009
15	2282.4301	8.3418	0.6196	0.8694	0.6674	0.7507	0.7748	1.0461	1.0831	0.4835	0.4962	0.0009
16	2434.3669	8.3177	0.6148	0.8682	0.6684	0.7586	0.7862	1.0582	1.0959	0.4712	0.4845	0.00081
17	2586.8908	8.1698	0.6072	0.8604	0.6743	0.7521	0.7773	1.0525	1.0891	0.4777	0.49	0.00081
18	2739.7276	8.0753	0.6044	0.8554	0.678	0.751	0.7811	1.0495	1.0931	0.4739	0.4929	0.00081
19	2891.2122	7.9977	0.601	0.8513	0.6811	0.7568	0.7926	1.0601	1.1027	0.4647	0.4826	0.000729
20	3043.7453	7.8458	0.5947	0.8432	0.6872	0.7464	0.7773	1.0461	1.0897	0.4772	0.4962	0.000729
21	3195.5309	7.7725	0.591	0.8392	0.6901	0.743	0.7686	1.0443	1.0849	0.4817	0.498	0.000729
22	3346.6278	7.8442	0.5917	0.8431	0.6872	0.758	0.7876	1.0606	1.1017	0.4656	0.4821	0.000729
23	3498.6719	7.8453	0.5916	0.8432	0.6872	0.7316	0.7692	1.0315	1.0764	0.4898	0.5102	0.0006561
24	3650.8872	7.6497	0.581	0.8326	0.695	0.7408	0.7787	1.042	1.0905	0.4764	0.5002	0.0006561
25	3803.4254	7.5868	0.582	0.8292	0.6975	0.7209	0.7595	1.0229	1.0723	0.4937	0.5182	0.0006561
26	3955.1644	7.5539	0.5772	0.8274	0.6988	0.7314	0.7757	1.0341	1.0881	0.4787	0.5077	0.00059049
27	4108.0139	7.4954	0.5736	0.8241	0.7012	0.7221	0.7644	1.0178	1.0742	0.4919	0.5231	0.00059049
28	4258.6341	7.3021	0.5686	0.8135	0.7089	0.7179	0.7642	1.0152	1.0684	0.4974	0.5255	0.00059049
29	4410.7226	7.4024	0.57	0.819	0.7049	0.7058	0.7555	1.0031	1.0625	0.5029	0.5368	0.000531441
30	4562.6554	7.2954	0.5625	0.8131	0.7091	0.6989	0.7504	0.9984	1.0572	0.5079	0.5411	0.000531441
31	4714.9165	7.1749	0.5595	0.8063	0.7139	0.7051	0.7591	1.0031	1.0661	0.4996	0.5368	0.000531441
32	4867.4295	7.1324	0.5574	0.8039	0.7156	0.6949	0.743	0.9966	1.0457	0.5185	0.5428	0.000531441
33	5018.7839	7.1234	0.5581	0.8034	0.716	0.6947	0.7516	0.9955	1.0545	0.5104	0.5438	0.000478297
34	5170.5754	7.0535	0.553	0.7995	0.7188	0.6995	0.7529	1.002	1.0635	0.502	0.5378	0.000478297
35	5323.2246	6.9417	0.5465	0.7931	0.7232	0.6935	0.7566	0.9968	1.0642	0.5013	0.5425	0.000478297
36	5475.152	6.9922	0.5494	0.796	0.7212	0.6985	0.7517	1.0004	1.0635	0.502	0.5392	0.000430467
37	5627.114	6.7996	0.5399	0.785	0.7289	0.6971	0.7469	0.9982	1.0538	0.5111	0.5412	0.000430467
38	5780.4041	6.8209	0.5409	0.7862	0.728	0.6915	0.7469	0.9937	1.0525	0.5123	0.5454	0.000430467
39	5933.2361	6.8028	0.5406	0.7852	0.7288	0.6883	0.7457	0.9892	1.0512	0.5135	0.5495	0.00038742
40	6085.3071	6.5848	0.5313	0.7725	0.7375	0.6794	0.7377	0.98	1.0459	0.5183	0.5578	0.00038742
41	6236.6756	6.6251	0.5311	0.7748	0.7359	0.6871	0.7452	0.9928	1.0565	0.5085	0.5462	0.00038742
42	6389.2565	6.617	0.5319	0.7744	0.7362	0.6922	0.7488	0.9958	1.0578	0.5074	0.5435	0.00038742
43	6541.2117	6.5747	0.5281	0.7719	0.7379	0.6898	0.7458	0.9946	1.0592	0.5061	0.5445	0.000348678
44	6692.5749	6.4421	0.5227	0.7641	0.7432	0.6762	0.7419	0.9776	1.0507	0.5139	0.56	0.000348678
45	6843.1537	6.4036	0.5197	0.7618	0.7447	0.6821	0.7485	0.9851	1.0586	0.5066	0.5532	0.000348678
46	6995.0207	6.4652	0.5215	0.7654	0.7422	0.6803	0.7458	0.9844	1.0592	0.506	0.5538	0.000313811
47	7146.7742	6.3141	0.5137	0.7564	0.7483	0.6751	0.7361	0.9768	1.0428	0.5212	0.5607	0.000313811
48	7298.067	6.2285	0.512	0.7513	0.7517	0.6736	0.7342	0.976	1.0424	0.5216	0.5614	0.000313811
49	7450.3176	6.23	0.5122	0.7514	0.7516	0.6788	0.7363	0.9822	1.047	0.5174	0.5559	0.00028243
50	7601.513	6.0945	0.5065	0.7432	0.757	0.6815	0.7416	0.9862	1.0524	0.5124	0.5522	0.00028243
51	7754.351	6.0652	0.5025	0.7414	0.7582	0.6729	0.7335	0.9757	1.0394	0.5243	0.5617	0.00028243
52	7905.9356	6.1	0.5043	0.7435	0.7568	0.6777	0.7338	0.9792	1.0438	0.5203	0.5586	0.00028243
53	8058.3931	6.0331	0.5026	0.7394	0.7595	0.6736	0.7295	0.9744	1.0404	0.5234	0.5628	0.000254187
54	8210.5493	5.9566	0.4982	0.7347	0.7625	0.6637	0.7294	0.963	1.0399	0.5238	0.5731	0.000254187
55	8361.985	5.818	0.4931	0.7261	0.768	0.6709	0.7325	0.9743	1.0399	0.5238	0.563	0.000254187
56	8514.0137	5.9787	0.499	0.7361	0.7616	0.6689	0.7321	0.9699	1.0348	0.5285	0.5669	0.000228768
57	8664.5835	5.7814	0.4891	0.7238	0.7695	0.6691	0.7316	0.9743	1.0379	0.5257	0.563	0.000228768
58	8816.109	5.7529	0.4866	0.722	0.7706	0.6661	0.7325	0.9652	1.0402	0.5236	0.5711	0.000228768
59	8969.0127	5.7107	0.4861	0.7194	0.7723	0.6672	0.7331	0.9686	1.0324	0.5307	0.568	0.000205891
60	9122.0754	5.6687	0.4842	0.7167	0.774	0.6688	0.7324	0.9762	1.0428	0.5212	0.5612	0.000205891
61	9274.6466	5.6407	0.4814	0.7149	0.7751	0.6634	0.7317	0.9721	1.0406	0.5233	0.5649	0.000205891
62	9425.7157	5.5502	0.478	0.7092	0.7787	0.6749	0.7335	0.9836	1.0431	0.5209	0.5546	0.000205891
63	9579.6643	5.5168	0.4768	0.7071	0.78	0.6726	0.7339	0.9746	1.0441	0.52	0.5627	0.000185302
64	9731.9074	5.5315	0.4751	0.708	0.7795	0.6676	0.7348	0.9724	1.0421	0.5218	0.5647	0.000185302
65	9883.0394	5.411	0.4726	0.7002	0.7843	0.6757	0.7345	0.98	1.0452	0.519	0.5578	0.000185302
66	10035.2351	5.4023	0.4706	0.6997	0.7846	0.6661	0.7255	0.9706	1.0336	0.5296	0.5663	0.000166772
67	10186.0091	5.2468	0.4643	0.6895	0.7908	0.6633	0.7287	0.9696	1.0396	0.5242	0.5671	0.000166772
68	10338.6972	5.249	0.4642	0.6897	0.7907	0.6732	0.7379	0.9834	1.0508	0.5138	0.5548	0.000166772
69	10490.8549	5.3505	0.4697	0.6963	0.7867	0.6627	0.7255	0.9661	1.0337	0.5295	0.5703	0.000150095
70	10642.0683	5.2439	0.4656	0.6893	0.7909	0.6587	0.7262	0.9584	1.028	0.5347	0.5771	0.000150095
71	10795.5007	5.2603	0.4649	0.6904	0.7903	0.6622	0.7265	0.9667	1.0348	0.5285	0.5698	0.000150095
72	10946.8601	5.1341	0.4576	0.6821	0.7953	0.6592	0.7282	0.9673	1.0405	0.5233	0.5692	0.000150095
73	11098.8259	5.1256	0.4564	0.6815	0.7956	0.6618	0.7273	0.9732	1.0379	0.5257	0.5639	0.000135085
74	11251.6591	5.1158	0.4583	0.6809	0.796	0.6611	0.7226	0.9656	1.0337	0.5295	0.5707	0.000135085
75	11439.4354	5.0274	0.4498	0.675	0.7996	0.6606	0.7191	0.9663	1.0276	0.535	0.5701	0.000135085
76	11767.355	4.9835	0.4514	0.672	0.8013	0.6632	0.7223	0.9699	1.0289	0.5339	0.5669	0.000121577
77	12093.955	4.9498	0.451	0.6697	0.8027	0.66	0.7233	0.9713	1.0351	0.5282	0.5657	0.000121577
78	12420.9824	4.954	0.4475	0.67	0.8025	0.6546	0.7234	0.9572	1.0286	0.5341	0.5782	0.000121577
79	12747.1291	4.9065	0.4475	0.6668	0.8044	0.6587	0.719	0.9637	1.0259	0.5366	0.5725	0.000109419
80	13074.3714	4.8619	0.4435	0.6638	0.8062	0.6543	0.719	0.9613	1.0271	0.5355	0.5746	0.000109419
81	13401.1273	4.8561	0.4452	0.6634	0.8064	0.6562	0.7238	0.9669	1.0333	0.5299	0.5695	0.000109419
82	13727.9852	4.7933	0.4398	0.6591	0.8089	0.6584	0.7233	0.9698	1.0331	0.53	0.567	0.000109419
83	14054.2863	4.795	0.4387	0.6592	0.8088	0.6605	0.725	0.9703	1.0361	0.5273	0.5665	9.85E-05
84	14381.4205	4.7748	0.439	0.6578	0.8096	0.6496	0.7172	0.9549	1.0237	0.5386	0.5802	9.85E-05
85	14707.7992	4.6797	0.4338	0.6512	0.8134	0.6547	0.7223	0.9663	1.0342	0.5291	0.5701	9.85E-05
86	15033.5821	4.7843	0.4387	0.6584	0.8092	0.657	0.7175	0.9649	1.0248	0.5376	0.5714	8.86E-05
87	15359.5829	4.6935	0.4333	0.6522	0.8129	0.6537	0.7188	0.9599	1.0217	0.5403	0.5758	8.86E-05
88	15686.0478	4.6524	0.4337	0.6493	0.8145	0.6529	0.7185	0.9645	1.0263	0.5362	0.5717	8.86E-05
89	16013.189	4.7059	0.4344	0.653	0.8124	0.6509	0.7141	0.9593	1.0238	0.5384	0.5763	7.98E-05
90	16340.4548	4.6214	0.4285	0.6471	0.8157	0.6492	0.7143	0.9574	1.0204	0.5415	0.578	7.98E-05
91	16666.47	4.5884	0.4301	0.6448	0.8171	0.6499	0.7172	0.9581	1.023	0.5392	0.5774	7.98E-05
92	16993.7604	4.5294	0.4242	0.6407	0.8194	0.6552	0.7181	0.9646	1.0246	0.5378	0.5716	7.98E-05
93	17320.1079	4.6166	0.4307	0.6468	0.8159	0.651	0.7133	0.9596	1.0202	0.5418	0.5761	7.18E-05
94	17646.3332	4.507	0.4256	0.6391	0.8203	0.6543	0.7142	0.9651	1.0214	0.5406	0.5712	7.18E-05
95	17972.6948	4.5434	0.427	0.6417	0.8189	0.6498	0.7124	0.9585	1.0196	0.5423	0.577	7.18E-05
96	18299.9715	4.4745	0.4234	0.6368	0.8216	0.6483	0.7145	0.9558	1.0194	0.5424	0.5794	6.46E-05
97	18626.7622	4.46	0.4204	0.6357	0.8242	0.6465	0.7086	0.9535	1.0143	0.547	0.5834	6.46E-05
98	18953.3776	4.3954	0.4172	0.6331	0.8288	0.6448	0.7139	0.9546	1.019	0.5528	0.5885	6.46E-05
99	19280.1352	4.3869	0.4155	0.6315	0.8321	0.6463	0.7105	0.9532	1.0174	0.5542	0.5917	5.81E-05
100	19606.6401	4.4067	0.4133	0.6289	0.8353	0.6434	0.7074	0.9514	1.0156	0.5592	0.5951	5.81E-05
