Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	258.9675	15.3629	1.0511	1.3661	0.1714	0.9439	0.9587	1.2127	1.2599	0.3319	0.3163	0.001
2	517.0823	10.9435	0.8569	1.1378	0.4252	0.8506	0.8601	1.1172	1.1623	0.433	0.4182	0.001
3	776.3192	10.0292	0.8115	1.0854	0.4769	0.8638	0.8713	1.1214	1.1612	0.4288	0.4193	0.001
4	1036.9298	9.2563	0.7751	1.0422	0.5177	0.8299	0.8395	1.0876	1.1268	0.4626	0.4531	0.001
5	1296.491	8.9833	0.7439	1.0118	0.5454	0.8026	0.8206	1.0661	1.1136	0.4836	0.4659	0.001
6	1557.2168	8.5325	0.7249	0.9881	0.5665	0.8473	0.8575	1.1046	1.1461	0.4457	0.4343	0.001
7	1820.2759	8.4701	0.7139	0.9762	0.5769	0.8217	0.8337	1.0825	1.1267	0.4677	0.4532	0.001
8	2083.3814	8.2224	0.6977	0.9596	0.5912	0.8294	0.8479	1.0914	1.1389	0.4589	0.4414	0.001
9	2344.8786	8.0944	0.6912	0.9475	0.6014	0.822	0.8319	1.0852	1.1255	0.465	0.4544	0.001
10	2607.6731	7.9499	0.6856	0.942	0.606	0.8312	0.8389	1.0876	1.128	0.4627	0.452	0.001
11	2868.6693	8.3595	0.6704	0.9262	0.6191	0.8191	0.8301	1.0713	1.121	0.4786	0.4588	0.001
12	3130.8287	8.1819	0.6668	0.9223	0.6223	0.8498	0.8635	1.1025	1.1463	0.4479	0.4341	0.001
13	3393.6697	7.9465	0.6595	0.9161	0.6274	0.7975	0.8129	1.0548	1.1057	0.4946	0.4735	0.0009
14	3653.349	7.7754	0.6452	0.9004	0.64	0.815	0.8252	1.071	1.1192	0.4789	0.4605	0.0009
15	3913.5366	7.7526	0.6522	0.9085	0.6335	0.8081	0.8219	1.0598	1.1085	0.4897	0.4708	0.0009
16	4172.6072	7.6336	0.6421	0.8953	0.6441	0.811	0.8213	1.062	1.1087	0.4877	0.4706	0.00081
17	4431.7091	7.358	0.6338	0.8846	0.6526	0.8041	0.8146	1.0612	1.11	0.4884	0.4693	0.00081
18	4692.929	7.1928	0.6291	0.8823	0.6543	0.8016	0.8164	1.0559	1.113	0.4935	0.4664	0.00081
19	4952.8443	7.2756	0.626	0.8803	0.6559	0.8143	0.8187	1.0662	1.1132	0.4836	0.4663	0.000729
20	5213.7088	7.18	0.6142	0.8663	0.6668	0.7946	0.8032	1.0463	1.0966	0.5027	0.4821	0.000729
21	5475.7119	7.4345	0.61	0.8626	0.6696	0.7951	0.7988	1.0483	1.0913	0.5008	0.4871	0.000729
22	5737.8051	7.1275	0.6048	0.8532	0.6768	0.7911	0.8005	1.0447	1.0939	0.5042	0.4846	0.000729
23	5997.5025	7.1734	0.6004	0.8515	0.6781	0.8034	0.8057	1.057	1.0988	0.4925	0.48	0.0006561
24	6257.9599	6.9229	0.5936	0.8447	0.6832	0.7906	0.7945	1.0452	1.0889	0.5037	0.4893	0.0006561
25	6516.9881	6.8958	0.5909	0.8432	0.6843	0.7979	0.8034	1.0504	1.0956	0.4987	0.4831	0.0006561
26	6777.0551	6.9065	0.5878	0.8385	0.6878	0.7923	0.7906	1.0455	1.0885	0.5034	0.4897	0.00059049
27	7039.509	6.7317	0.5817	0.8295	0.6945	0.8381	0.8394	1.0854	1.1287	0.4648	0.4513	0.00059049
28	7300.6422	6.6417	0.5775	0.8255	0.6974	0.8033	0.8133	1.0549	1.1085	0.4944	0.4708	0.00059049
29	7562.2415	6.6807	0.5757	0.8233	0.699	0.7814	0.7881	1.0406	1.09	0.5081	0.4883	0.000531441
30	7822.7318	6.622	0.5725	0.8206	0.701	0.7859	0.795	1.0382	1.09	0.5103	0.4883	0.000531441
31	8085.9734	6.7352	0.5672	0.8161	0.7043	0.7897	0.8003	1.044	1.0916	0.5048	0.4868	0.000531441
32	8345.506	6.5879	0.5693	0.8166	0.7039	0.8041	0.8054	1.052	1.0955	0.4972	0.4831	0.000531441
33	8608.2855	6.4676	0.5653	0.8142	0.7057	0.8022	0.8043	1.0524	1.0982	0.4969	0.4805	0.000478297
34	8868.4251	6.2986	0.5584	0.8055	0.7119	0.794	0.7957	1.0499	1.0919	0.4993	0.4865	0.000478297
35	9130.1986	6.3182	0.5575	0.8039	0.7131	0.8076	0.8158	1.0555	1.1016	0.4939	0.4773	0.000478297
