Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
36	9391.2319	6.3176	0.5593	0.8056	0.7119	0.7787	0.7858	1.0361	1.0829	0.5123	0.4949	0.000430467
37	9653.0629	6.1687	0.5494	0.7961	0.7186	0.7918	0.7994	1.0458	1.0908	0.5032	0.4876	0.000430467
38	9914.3192	6.151	0.5493	0.7963	0.7185	0.7958	0.7985	1.0475	1.0903	0.5015	0.4881	0.000430467
39	10178.8089	6.1705	0.5466	0.7917	0.7217	0.784	0.782	1.0421	1.0767	0.5067	0.5007	0.00038742
40	10440.238	5.9772	0.5397	0.7849	0.7265	0.7977	0.7987	1.0503	1.0899	0.4989	0.4884	0.00038742
41	10701.052	6.3791	0.5395	0.7828	0.7279	0.8002	0.7977	1.0517	1.0899	0.4975	0.4884	0.00038742
42	10965.6173	6.2838	0.5365	0.7829	0.7279	0.7998	0.8014	1.0539	1.0914	0.4954	0.487	0.00038742
43	11226.4235	6.2232	0.5373	0.7798	0.73	0.8026	0.799	1.0558	1.0936	0.4936	0.485	0.000348678
44	11490.1185	6.1568	0.533	0.7748	0.7335	0.797	0.7919	1.0511	1.0858	0.4981	0.4922	0.000348678
45	11751.5012	6.0659	0.5306	0.7735	0.7343	0.7865	0.7881	1.0426	1.081	0.5062	0.4967	0.000348678
46	12014.6222	6.0392	0.5289	0.7709	0.7361	0.7887	0.7807	1.0463	1.0752	0.5027	0.5021	0.000313811
47	12276.948	5.7341	0.521	0.7626	0.7418	0.7871	0.7872	1.0463	1.0796	0.5027	0.498	0.000313811
48	12536.1043	5.841	0.5225	0.7651	0.7401	0.7793	0.775	1.0394	1.0751	0.5093	0.5022	0.000313811
49	12796.8572	5.728	0.5169	0.7551	0.7469	0.7754	0.7709	1.0416	1.0695	0.5071	0.5074	0.00028243
50	13058.8186	5.775	0.5137	0.7552	0.7468	0.7835	0.7888	1.0415	1.0848	0.5072	0.4931	0.00028243
51	13319.8329	5.8501	0.5174	0.7578	0.745	0.7689	0.7729	1.0325	1.0716	0.5158	0.5054	0.00028243
52	13581.0196	5.7529	0.5104	0.7519	0.749	0.785	0.7883	1.0443	1.0837	0.5046	0.4942	0.00028243
53	13842.9275	5.7514	0.5092	0.7471	0.7521	0.7722	0.7765	1.032	1.0701	0.5162	0.5068	0.000254187
54	14105.8684	5.5807	0.5088	0.7476	0.7518	0.7769	0.7812	1.0364	1.0748	0.512	0.5024	0.000254187
55	14366.6356	5.5188	0.5094	0.7462	0.7528	0.7739	0.7823	1.0313	1.0763	0.5168	0.5011	0.000254187
56	14627.8953	5.5031	0.5009	0.7358	0.7596	0.7841	0.7843	1.0367	1.0772	0.5118	0.5003	0.000228768
57	14888.3796	5.362	0.5045	0.7379	0.7582	0.7652	0.7695	1.027	1.0708	0.5209	0.5061	0.000228768
58	15147.649	5.3583	0.4999	0.7369	0.7589	0.7742	0.7794	1.0298	1.0753	0.5182	0.502	0.000228768
59	15408.7526	5.2897	0.4941	0.7308	0.7628	0.7716	0.7761	1.0307	1.0745	0.5174	0.5027	0.000205891
60	15669.9059	5.1538	0.4947	0.7264	0.7657	0.769	0.7765	1.0276	1.0726	0.5203	0.5045	0.000205891
61	15933.2325	5.4649	0.4923	0.7276	0.7649	0.764	0.7743	1.0229	1.0716	0.5247	0.5054	0.000205891
62	16196.7831	5.2989	0.4927	0.7246	0.7669	0.7684	0.7674	1.0285	1.072	0.5195	0.505	0.000205891
63	16458.5145	5.2239	0.4869	0.7212	0.769	0.7794	0.7773	1.034	1.0791	0.5143	0.4985	0.000185302
64	16717.7735	5.2064	0.4834	0.7169	0.7718	0.7686	0.7715	1.0265	1.0744	0.5213	0.5028	0.000185302
65	16970.5648	5.1527	0.4803	0.7108	0.7757	0.7829	0.7793	1.0361	1.0797	0.5124	0.4979	0.000185302
66	17232.2313	4.9948	0.4767	0.7034	0.7803	0.7765	0.7789	1.0339	1.0772	0.5144	0.5002	0.000166772
67	17494.3346	4.9945	0.4808	0.7103	0.776	0.7665	0.7709	1.0256	1.0706	0.5221	0.5064	0.000166772
68	17755.2931	4.9518	0.4792	0.709	0.7768	0.7741	0.7803	1.0306	1.0765	0.5175	0.5009	0.000166772
69	18018.4359	4.9264	0.4776	0.7069	0.7781	0.7713	0.776	1.0301	1.0755	0.518	0.5018	0.000150095
70	18279.3157	4.8304	0.4734	0.6993	0.7829	0.7719	0.7753	1.0305	1.0763	0.5176	0.5011	0.000150095
71	18538.8786	5.027	0.478	0.7047	0.7795	0.7694	0.7775	1.0271	1.0717	0.5208	0.5053	0.000150095
72	18797.5433	4.8647	0.4705	0.6956	0.7852	0.7694	0.7763	1.028	1.0776	0.52	0.4999	0.000150095
73	19058.9962	4.8459	0.4744	0.7046	0.7795	0.772	0.7739	1.0278	1.07	0.5201	0.5069	0.000135085
74	19319.8648	4.6842	0.4619	0.6879	0.7899	0.7685	0.7687	1.0266	1.0709	0.5213	0.5061	0.000135085
75	19580.344	4.6908	0.4648	0.6904	0.7884	0.7682	0.7688	1.0293	1.076	0.5187	0.5014	0.000135085
76	19859.887	4.582	0.4653	0.6913	0.7878	0.7551	0.7619	1.0196	1.0665	0.5277	0.5101	0.000121577
77	20183.3511	4.5979	0.4636	0.69	0.7886	0.7634	0.7705	1.0202	1.0699	0.5272	0.507	0.000121577
78	20506.3042	4.5893	0.4617	0.6839	0.7924	0.7614	0.7669	1.0215	1.0715	0.5259	0.5055	0.000121577
79	20827.9571	4.462	0.4611	0.6862	0.7909	0.7624	0.7664	1.0237	1.0719	0.5239	0.5051	0.000109419
80	21149.9884	4.3975	0.4575	0.6773	0.7963	0.7688	0.7731	1.0264	1.0769	0.5215	0.5006	0.000109419
81	21471.7949	4.575	0.4577	0.6808	0.7942	0.766	0.7634	1.0232	1.0697	0.5244	0.5072	0.000109419
82	21791.737	4.4766	0.4527	0.6753	0.7975	0.7783	0.7768	1.0354	1.0814	0.513	0.4963	0.000109419
83	22114.6382	4.4418	0.4525	0.6737	0.7985	0.7755	0.7699	1.0289	1.0742	0.5191	0.503	9.85E-05
84	22437.2845	4.3353	0.4504	0.6696	0.8009	0.7718	0.7747	1.0306	1.0768	0.5175	0.5006	9.85E-05
85	22765.651	4.373	0.4465	0.6704	0.8004	0.7773	0.776	1.0339	1.0815	0.5144	0.4962	9.85E-05
86	23089.3419	4.2989	0.4434	0.6612	0.8059	0.7628	0.7722	1.0287	1.0832	0.5192	0.4947	8.86E-05
87	23413.0708	4.1898	0.448	0.6679	0.8019	0.7588	0.7702	1.0151	1.0694	0.5319	0.5075	8.86E-05
88	23734.661	4.2635	0.4445	0.6676	0.8021	0.7549	0.7604	1.0134	1.0649	0.5334	0.5116	8.86E-05
89	24056.6706	4.2776	0.4474	0.6686	0.8015	0.7509	0.757	1.015	1.063	0.532	0.5133	7.98E-05
90	24378.5932	4.1297	0.4434	0.6622	0.8053	0.7609	0.7666	1.0209	1.0708	0.5265	0.5061	7.98E-05
91	24699.4061	4.0499	0.4423	0.6623	0.8052	0.7533	0.7586	1.0164	1.0663	0.5307	0.5103	7.98E-05
92	24960.7024	3.9946	0.4413	0.6601	0.8065	0.7589	0.762	1.0209	1.0675	0.5266	0.5092	7.98E-05
93	25222.3876	4.0082	0.4392	0.6573	0.8082	0.7673	0.7687	1.037	1.0774	0.5115	0.5	7.18E-05
94	25485.411	3.8151	0.4415	0.6622	0.8053	0.7652	0.764	1.0355	1.0735	0.5129	0.5037	7.18E-05
95	25751.0808	3.9153	0.4431	0.6596	0.8068	0.7533	0.7611	1.0122	1.0637	0.5346	0.5127	7.18E-05
96	26014.0653	3.8316	0.442	0.6594	0.807	0.753	0.7654	1.0131	1.0676	0.5338	0.5091	6.46E-05
97	26278.7767	3.7711	0.4405	0.659	0.8072	0.7544	0.7648	1.0134	1.0662	0.5335	0.5104	6.46E-05
98	26544.5889	3.6862	0.438	0.6567	0.8085	0.755	0.7674	1.0115	1.0675	0.5353	0.5092	6.46E-05
99	26809.3472	3.726	0.4383	0.6558	0.809	0.7484	0.7565	1.0097	1.0609	0.5369	0.5152	5.81E-05
100	27071.2247	3.6191	0.4373	0.6542	0.81	0.751	0.7615	1.0101	1.0642	0.5365	0.5182	5.81E-05
