Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	289.0006	2.2868	1.1881	1.5122	-0.0153	1.1737	1.1917	1.5068	1.5095	0.0149	0.0141	0.001
2	608.4101	1.862	1.0521	1.3646	0.1733	0.9557	0.9601	1.2378	1.2434	0.3353	0.331	0.001
3	916.3334	1.4651	0.9228	1.2104	0.3495	0.8801	0.8977	1.1602	1.169	0.416	0.4087	0.001
4	1239.5938	1.269	0.8543	1.1265	0.4366	0.8374	0.842	1.127	1.1253	0.4489	0.4521	0.001
5	1560.6981	1.1634	0.8046	1.0786	0.4835	0.7886	0.8019	1.0847	1.0843	0.4895	0.4912	0.001
6	1882.1905	1.0918	0.7783	1.0449	0.5153	0.7956	0.8016	1.08	1.0726	0.4939	0.5022	0.001
7	2202.506	1.0444	0.7571	1.0219	0.5363	0.7799	0.7809	1.0738	1.0589	0.4997	0.5148	0.001
8	2515.133	0.9917	0.7343	0.9958	0.5597	0.7623	0.7649	1.0615	1.0408	0.5111	0.5313	0.001
9	2843.0375	0.9622	0.7189	0.9809	0.5728	0.7619	0.7615	1.0679	1.0485	0.5053	0.5243	0.001
10	3162.9946	0.9363	0.7099	0.9676	0.5843	0.7672	0.764	1.0606	1.0413	0.5119	0.5309	0.001
11	3483.0704	0.9267	0.7017	0.9627	0.5886	0.7524	0.754	1.0549	1.0388	0.5172	0.5331	0.001
12	3800.3991	0.8907	0.6894	0.9438	0.6045	0.7465	0.7538	1.0536	1.0422	0.5184	0.53	0.001
13	4116.2381	0.8954	0.6872	0.9462	0.6025	0.7809	0.773	1.0692	1.0453	0.504	0.5272	0.0009000000000000001
14	4438.8168	0.8818	0.6817	0.9391	0.6085	0.7512	0.7463	1.0612	1.0342	0.5114	0.5372	0.0009000000000000001
15	4752.8987	0.8586	0.6725	0.9266	0.6188	0.7539	0.7428	1.0573	1.0272	0.515	0.5435	0.0009000000000000001
16	5073.838	0.8553	0.6666	0.9248	0.6203	0.7393	0.7379	1.0472	1.0271	0.5243	0.5436	0.0008100000000000001
17	5394.8374	0.828	0.6558	0.9099	0.6324	0.7602	0.7525	1.0544	1.0283	0.5176	0.5425	0.0008100000000000001
18	5721.5361	0.8339	0.6587	0.9132	0.6298	0.7342	0.7342	1.0509	1.0254	0.5208	0.545	0.0008100000000000001
19	6038.9773	0.8345	0.6516	0.9135	0.6295	0.7437	0.743	1.0494	1.0267	0.5222	0.5439	0.000729
20	6360.0068	0.8045	0.6424	0.8969	0.6428	0.7275	0.7389	1.0365	1.0192	0.5339	0.5506	0.000729
21	6683.1771	0.8017	0.6397	0.8954	0.6441	0.7451	0.742	1.0398	1.0206	0.5309	0.5493	0.000729
22	7007.4259	0.8032	0.6389	0.8962	0.6434	0.7279	0.7268	1.0292	1.0127	0.5404	0.5563	0.000729
23	7324.3001	0.7902	0.6361	0.8889	0.6492	0.7543	0.7502	1.0455	1.026	0.5258	0.5446	0.0006561000000000001
24	7651.146	0.7702	0.627	0.8776	0.658	0.7348	0.7334	1.0422	1.0219	0.5287	0.5482	0.0006561000000000001
25	7966.0473	0.7817	0.6293	0.8841	0.653	0.732	0.7384	1.0366	1.0218	0.5338	0.5483	0.0006561000000000001
26	8292.12	0.7779	0.6281	0.882	0.6546	0.7335	0.7397	1.0404	1.0275	0.5304	0.5432	0.00059049
27	8612.0553	0.7626	0.6197	0.8733	0.6614	0.7423	0.7437	1.0405	1.0237	0.5303	0.5466	0.00059049
28	8925.9494	0.7651	0.6196	0.8747	0.6603	0.7276	0.7305	1.0364	1.0164	0.534	0.553	0.00059049
29	9242.4986	0.7505	0.6132	0.8663	0.6668	0.7328	0.7416	1.0359	1.0248	0.5345	0.5456	0.000531441
30	9557.1932	0.7366	0.6062	0.8583	0.673	0.7312	0.7432	1.0332	1.0272	0.5369	0.5435	0.000531441
31	9881.8223	0.7325	0.6058	0.8558	0.6748	0.7226	0.7288	1.0394	1.0191	0.5313	0.5507	0.000531441
32	10208.2556	0.7338	0.6045	0.8566	0.6742	0.7209	0.7333	1.0367	1.0233	0.5337	0.5469	0.000531441
33	10524.6451	0.7326	0.6041	0.8559	0.6747	0.7265	0.734	1.033	1.0185	0.537	0.5512	0.0004782969
34	10848.7766	0.7242	0.6006	0.851	0.6785	0.7174	0.7274	1.0243	1.013	0.5449	0.556	0.0004782969
35	11172.4916	0.7048	0.5945	0.8395	0.6871	0.726	0.7325	1.0314	1.0197	0.5385	0.5501	0.0004782969
36	11486.9512	0.7093	0.595	0.8422	0.6851	0.704	0.717	1.0237	1.0122	0.5454	0.5567	0.00043046721
37	11809.3365	0.7021	0.5909	0.8379	0.6883	0.7178	0.7235	1.0303	1.0103	0.5394	0.5583	0.00043046721
38	12122.5525	0.6846	0.585	0.8274	0.696	0.7117	0.7223	1.021	1.0136	0.5477	0.5554	0.00043046721
39	12438.8446	0.6903	0.5819	0.8309	0.6935	0.6967	0.7149	1.0128	1.0119	0.555	0.5569	0.000387420489
40	12757.9964	0.6786	0.5792	0.8238	0.6987	0.7028	0.7157	1.0116	1.0041	0.556	0.5637	0.000387420489
41	13074.5862	0.68	0.577	0.8246	0.6981	0.7028	0.7163	1.0265	1.013	0.5428	0.556	0.000387420489
42	13394.6308	0.6673	0.573	0.8169	0.7037	0.7019	0.7154	1.0183	1.0068	0.5501	0.5614	0.000387420489
43	13713.8501	0.6612	0.5709	0.8132	0.7064	0.7128	0.7246	1.0306	1.012	0.5392	0.5569	0.0003486784401
44	14032.8336	0.662	0.5716	0.8136	0.7061	0.6971	0.7111	1.017	1.0016	0.5513	0.566	0.0003486784401
45	14349.2253	0.6508	0.5612	0.8067	0.711	0.6971	0.7156	1.0147	1.0079	0.5533	0.5604	0.0003486784401
46	14670.3561	0.6538	0.566	0.8086	0.7097	0.7068	0.723	1.0173	1.0139	0.551	0.5552	0.00031381059609000004
47	14922.0807	0.6409	0.5582	0.8006	0.7155	0.6897	0.6999	1.0039	0.998	0.5628	0.569	0.00031381059609000004
48	15136.7767	0.6429	0.5573	0.8018	0.7146	0.6981	0.7091	1.0133	1.007	0.5545	0.5613	0.00031381059609000004
49	15352.8334	0.6292	0.5551	0.7932	0.7206	0.6894	0.7079	1.0105	1.0051	0.557	0.5629	0.00028242953648100003
50	15568.0043	0.6249	0.5503	0.7905	0.7226	0.6797	0.7045	0.9978	1.0043	0.5681	0.5635	0.00028242953648100003
51	15787.0564	0.6198	0.5499	0.7873	0.7248	0.6788	0.704	1.003	1.0065	0.5636	0.5616	0.00028242953648100003
52	16013.8239	0.6141	0.5462	0.7836	0.7274	0.697	0.7058	1.0049	1.0002	0.5619	0.5672	0.00028242953648100003
53	16216.6827	0.6109	0.5452	0.7816	0.7288	0.6755	0.7013	0.9982	1.0023	0.5677	0.5653	0.00025418658283290005
54	16399.0659	0.6076	0.5435	0.7795	0.7302	0.6819	0.703	1.0007	1.003	0.5656	0.5647	0.00025418658283290005
