Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
30	5672.4388	7.5853	0.5483	0.7957	0.7192	0.757	0.7552	1.0125	1.0315	0.5322	0.5434	0.000531441
31	5860.3942	7.6748	0.5463	0.792	0.7218	0.7509	0.7464	1.0084	1.0264	0.536	0.5479	0.000531441
32	6047.668	7.6267	0.5414	0.7854	0.7264	0.7424	0.7315	1.0041	1.0193	0.54	0.5541	0.000531441
33	6235.7706	7.6324	0.5405	0.7863	0.7258	0.7487	0.743	1.0062	1.0237	0.5381	0.5502	0.000478297
34	6423.5374	7.4722	0.5355	0.7779	0.7317	0.7409	0.736	1.0055	1.0225	0.5387	0.5513	0.000478297
35	6612.5789	7.4589	0.5329	0.7735	0.7346	0.7367	0.7296	0.999	1.014	0.5446	0.5588	0.000478297
36	6801.0427	7.4865	0.5307	0.7755	0.7333	0.7398	0.7359	1.0024	1.0186	0.5415	0.5547	0.000430467
37	6990.3145	7.3337	0.5235	0.7638	0.7413	0.7298	0.7269	0.9955	1.014	0.5478	0.5587	0.000430467
38	7179.412	7.2743	0.5197	0.7602	0.7437	0.7329	0.7319	0.997	1.0144	0.5464	0.5584	0.000430467
39	7368.215	7.2155	0.5169	0.7549	0.7473	0.747	0.7454	1.0091	1.0246	0.5354	0.5494	0.00038742
40	7556.2313	7.0229	0.5144	0.7524	0.749	0.7276	0.7207	0.9947	1.0081	0.5485	0.5639	0.00038742
41	7744.6211	7.0652	0.507	0.7467	0.7527	0.7367	0.7245	1.0015	1.0061	0.5423	0.5656	0.00038742
42	7933.8511	7.0306	0.5101	0.7526	0.7488	0.7239	0.7191	0.9861	1.005	0.5564	0.5665	0.00038742
43	8123.6018	7.0091	0.5079	0.7445	0.7542	0.7208	0.7141	0.989	1.0056	0.5537	0.566	0.000348678
44	8311.83	6.8535	0.4967	0.7339	0.7611	0.7271	0.7187	0.9958	1.0046	0.5476	0.5669	0.000348678
45	8499.6886	6.879	0.4997	0.737	0.7591	0.71	0.715	0.9791	1.0065	0.5626	0.5652	0.000348678
46	8688.0928	6.8567	0.4941	0.7303	0.7635	0.7101	0.7069	0.9801	0.999	0.5617	0.5717	0.000313811
47	8876.2612	6.7081	0.4876	0.7213	0.7693	0.7106	0.7073	0.9776	0.9959	0.564	0.5743	0.000313811
48	9064.8429	6.7619	0.4852	0.7204	0.7699	0.7085	0.7112	0.975	0.9982	0.5662	0.5723	0.000313811
49	9254.9907	6.7246	0.4861	0.7218	0.7689	0.7082	0.704	0.9752	0.9909	0.566	0.5786	0.00028243
50	9442.8786	6.6677	0.4793	0.7125	0.7749	0.7109	0.7011	0.9807	0.9937	0.5611	0.5763	0.00028243
51	9630.2721	6.628	0.4759	0.7095	0.7768	0.7142	0.7051	0.98	0.9925	0.5618	0.5772	0.00028243
52	9819.9854	6.495	0.474	0.7055	0.7793	0.7041	0.7019	0.9726	0.9942	0.5683	0.5758	0.00028243
53	10009.369	6.5957	0.4695	0.7012	0.782	0.703	0.6986	0.9727	0.9874	0.5683	0.5816	0.000254187
54	10196.8149	6.4322	0.4652	0.6993	0.7832	0.6949	0.6897	0.9697	0.9865	0.571	0.5823	0.000254187
55	10386.3155	6.5157	0.4666	0.698	0.7839	0.6972	0.6885	0.9729	0.9894	0.5682	0.5798	0.000254187
56	10574.9106	6.379	0.4619	0.6932	0.7869	0.7047	0.6978	0.9789	0.9926	0.5628	0.5772	0.000228768
57	10762.4424	6.3132	0.4585	0.6841	0.7925	0.6863	0.6892	0.9713	0.9934	0.5695	0.5765	0.000228768
58	10951.7493	6.2507	0.4558	0.6815	0.7941	0.6984	0.6888	0.9735	0.9843	0.5676	0.5842	0.000228768
59	11139.6485	6.2185	0.4553	0.6846	0.7922	0.6974	0.6962	0.9744	0.9947	0.5668	0.5754	0.000205891
60	11328.9197	6.1175	0.4518	0.6782	0.796	0.6919	0.6891	0.9727	0.9914	0.5683	0.5782	0.000205891
61	11517.021	6.1428	0.4491	0.6752	0.7978	0.6843	0.6844	0.9599	0.9793	0.5796	0.5884	0.000205891
62	11706.5585	6.0873	0.4484	0.6772	0.7966	0.6915	0.6825	0.9796	0.9844	0.5622	0.5841	0.000205891
63	11896.2224	6.0874	0.4454	0.6716	0.8	0.6906	0.6846	0.9724	0.9847	0.5685	0.5839	0.000185302
64	12084.3148	6.0771	0.4427	0.6679	0.8021	0.69	0.6829	0.974	0.9801	0.5672	0.5878	0.000185302
65	12274.1251	6.0151	0.4399	0.664	0.8045	0.6924	0.6867	0.9745	0.9843	0.5667	0.5842	0.000185302
66	12464.0893	5.9265	0.4363	0.6592	0.8073	0.6837	0.6824	0.9655	0.979	0.5747	0.5887	0.000166772
67	12652.282	5.9299	0.4322	0.6535	0.8106	0.6808	0.6803	0.9694	0.9772	0.5712	0.5902	0.000166772
68	12841.7174	6.0422	0.4314	0.6537	0.8105	0.6842	0.6813	0.9747	0.9767	0.5666	0.5906	0.000166772
69	13029.3737	5.8786	0.4269	0.6478	0.8139	0.6787	0.6789	0.9697	0.9818	0.5709	0.5863	0.000150095
70	13216.2532	5.7727	0.4244	0.6445	0.8158	0.6814	0.6717	0.9753	0.9776	0.5659	0.5898	0.000150095
71	13405.9252	5.7964	0.4239	0.647	0.8144	0.6818	0.6741	0.9736	0.9772	0.5675	0.5901	0.000150095
72	13595.7036	5.7293	0.4237	0.6453	0.8153	0.6729	0.6726	0.9666	0.9823	0.5737	0.5859	0.000150095
73	13784.3924	5.7456	0.4211	0.6431	0.8166	0.676	0.6761	0.9693	0.9789	0.5713	0.5887	0.000135085
74	13972.9485	5.6846	0.4176	0.6344	0.8215	0.6734	0.6678	0.9688	0.9751	0.5717	0.5919	0.000135085
75	14161.9824	5.5626	0.4157	0.6327	0.8225	0.6686	0.6631	0.9618	0.9661	0.5779	0.5994	0.000135085
76	14350.945	5.5948	0.4114	0.6283	0.8249	0.6761	0.6689	0.9694	0.9758	0.5713	0.5913	0.000121577
77	14540.0255	5.461	0.4121	0.6276	0.8253	0.676	0.6688	0.9713	0.9761	0.5695	0.5911	0.000121577
78	14729.77	5.5444	0.4091	0.6241	0.8273	0.6756	0.6663	0.9653	0.9667	0.5748	0.5989	0.000121577
79	14920.2885	5.5864	0.4075	0.6206	0.8292	0.6739	0.6717	0.9649	0.9737	0.5752	0.5931	0.000109419
80	15109.5174	5.417	0.4056	0.6184	0.8304	0.6728	0.6729	0.9686	0.9849	0.5719	0.5837	0.000109419
81	15298.1372	5.3762	0.4064	0.6184	0.8304	0.6791	0.6679	0.977	0.9769	0.5644	0.5905	0.000109419
82	15485.588	5.4392	0.4014	0.613	0.8333	0.6729	0.6734	0.9685	0.9813	0.572	0.5867	0.000109419
83	15673.2425	5.4108	0.3997	0.6117	0.834	0.6762	0.6653	0.9749	0.9784	0.5664	0.5891	9.85E-05
84	15861.7127	5.3916	0.3975	0.6063	0.837	0.6787	0.6743	0.9762	0.983	0.5652	0.5853	9.85E-05
85	16049.8236	5.4397	0.3962	0.607	0.8366	0.68	0.6704	0.9798	0.9816	0.5619	0.5864	9.85E-05
86	16237.8779	5.2798	0.3977	0.6073	0.8364	0.6732	0.6688	0.9711	0.9771	0.5697	0.5903	8.86E-05
87	16426.5212	5.2501	0.391	0.599	0.8409	0.6759	0.6697	0.9768	0.9807	0.5647	0.5872	8.86E-05
88	16615.5379	5.2421	0.3917	0.5975	0.8416	0.6757	0.6717	0.976	0.9812	0.5654	0.5868	8.86E-05
89	16804.4433	5.1683	0.3913	0.599	0.8409	0.6749	0.6723	0.9763	0.9812	0.5651	0.5868	7.98E-05
90	16992.6818	5.2152	0.3901	0.5982	0.8413	0.6693	0.6667	0.9697	0.9762	0.571	0.591	7.98E-05
91	17180.7732	5.2163	0.39	0.5968	0.842	0.6674	0.6667	0.9654	0.9749	0.5747	0.5921	7.98E-05
92	17369.1037	5.1331	0.3839	0.5893	0.846	0.6697	0.67	0.9712	0.9811	0.5696	0.5869	7.98E-05
93	17559.1354	5.1421	0.3854	0.5921	0.8445	0.6702	0.6697	0.971	0.9771	0.5698	0.5903	7.18E-05
94	17747.4598	5.055	0.3841	0.5909	0.8451	0.6706	0.6673	0.9715	0.9722	0.5694	0.5944	7.18E-05
95	17934.5847	5.0379	0.3797	0.585	0.8482	0.6746	0.6671	0.9764	0.9743	0.565	0.5926	7.18E-05
96	18122.2701	5.0722	0.3843	0.5893	0.846	0.6687	0.6652	0.9698	0.9744	0.5709	0.5925	6.46E-05
97	18310.3927	4.9998	0.3786	0.5811	0.8502	0.6698	0.6657	0.9733	0.9748	0.5677	0.5922	6.46E-05
98	18499.3904	4.9148	0.3836	0.5903	0.8455	0.6705	0.6649	0.9772	0.9778	0.5643	0.5897	6.46E-05
99	18688.4218	4.9493	0.3789	0.583	0.8493	0.6684	0.6667	0.9747	0.9788	0.5665	0.5888	5.81E-05
100	18877.1273	4.9751	0.3746	0.5748	0.8535	0.6689	0.6646	0.9743	0.9727	0.5769	0.5994	5.81E-05
