Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	189.5634	19.0603	1.1055	1.4228	0.1023	0.9159	0.9417	1.1972	1.236	0.346	0.3443	0.001
2	379.8108	12.6193	0.8695	1.155	0.4084	0.8856	0.9022	1.1519	1.1838	0.3946	0.3985	0.001
3	570.2631	11.2708	0.7866	1.056	0.5055	0.8615	0.8627	1.1185	1.1335	0.4291	0.4486	0.001
4	758.6303	10.5084	0.7459	1.0135	0.5444	0.8537	0.855	1.107	1.1205	0.4409	0.4612	0.001
5	946.8893	10.1045	0.7202	0.9804	0.5737	0.8351	0.8278	1.0835	1.0914	0.4644	0.4888	0.001
6	1136.6	9.8716	0.6987	0.9588	0.5923	0.8421	0.8428	1.0899	1.1069	0.458	0.4742	0.001
7	1326.0404	9.588	0.6843	0.9455	0.6035	0.8167	0.816	1.0629	1.0824	0.4846	0.4972	0.001
8	1515.5239	9.3875	0.6728	0.9315	0.6152	0.829	0.8191	1.0734	1.0812	0.4743	0.4983	0.001
9	1705.3619	9.2806	0.659	0.9166	0.6274	0.8018	0.7964	1.0489	1.0634	0.498	0.5147	0.001
10	1894.0877	9.2451	0.6533	0.9083	0.6341	0.799	0.793	1.045	1.0631	0.5017	0.5149	0.001
11	2081.3977	9.2647	0.6428	0.9007	0.6402	0.7648	0.7563	1.0203	1.037	0.525	0.5385	0.001
12	2270.8249	9.1749	0.6396	0.8951	0.6447	0.7928	0.7903	1.0437	1.0611	0.503	0.5168	0.001
13	2460.5202	9.0863	0.6283	0.8819	0.6551	0.7563	0.751	1.0097	1.0328	0.5348	0.5422	0.0009
14	2648.6032	8.7452	0.6262	0.8783	0.6579	0.8057	0.8071	1.0485	1.0705	0.4984	0.5082	0.0009
15	2837.4797	8.7659	0.6177	0.87	0.6644	0.8059	0.8067	1.049	1.0707	0.4979	0.508	0.0009
16	3027.6121	8.7497	0.6155	0.8684	0.6656	0.7636	0.7684	1.0128	1.0444	0.532	0.5318	0.00081
17	3216.8071	8.4992	0.6015	0.8538	0.6767	0.7774	0.7761	1.0243	1.0485	0.5213	0.5282	0.00081
18	3406.8274	8.539	0.5992	0.8504	0.6793	0.8067	0.8052	1.0515	1.0698	0.4956	0.5089	0.00081
19	3594.9643	8.4504	0.5926	0.8448	0.6835	0.7631	0.7597	1.0166	1.0382	0.5284	0.5374	0.000729
20	3783.6897	8.2947	0.5892	0.8412	0.6862	0.8093	0.8088	1.0553	1.0746	0.4919	0.5044	0.000729
21	3971.4304	8.2946	0.586	0.8367	0.6895	0.7874	0.7866	1.0357	1.0555	0.5105	0.5218	0.000729
22	4159.3639	8.2003	0.5814	0.8306	0.694	0.7803	0.777	1.0261	1.0486	0.5196	0.5281	0.000729
23	4348.5964	8.1484	0.5788	0.8284	0.6956	0.7646	0.7641	1.016	1.0417	0.5291	0.5342	0.0006561
24	4538.9678	8.0472	0.572	0.8191	0.7025	0.7686	0.766	1.0196	1.0399	0.5256	0.5359	0.0006561
25	4726.9121	8.0109	0.5718	0.8192	0.7024	0.7694	0.7641	1.0264	1.0399	0.5193	0.5359	0.0006561
26	4915.796	7.9437	0.5671	0.8146	0.7057	0.7864	0.7854	1.037	1.054	0.5094	0.5232	0.00059049
27	5105.1583	7.8084	0.5603	0.8085	0.7101	0.7891	0.7865	1.0358	1.0547	0.5105	0.5226	0.00059049
28	5293.9987	7.7554	0.5556	0.801	0.7154	0.7547	0.7484	1.0119	1.0312	0.5328	0.5436	0.00059049
29	5484.3296	7.6532	0.5547	0.8013	0.7153	0.7502	0.7485	1.0069	1.0307	0.5374	0.544	0.000531441
