,MetaNetX ID,SMILES
0,M,
1,MNXM10,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
2,MNXM100,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
3,MNXM10019,CCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]
4,MNXM1003,[*]O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
5,MNXM10038,COC(=O)CCCC(O)CC(=O)S[*]
6,MNXM1004,O=P([O-])([O-])OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
7,MNXM10073,COc1cc(C[C@H](N)C(=O)O)ccc1O
8,MNXM1014,N#CCC(N)C(=O)O
9,MNXM1015,C[C@H](CNC(N)=O)C(=O)O
10,MNXM1017,CCCC=O
11,MNXM1018,OC[C@@H](O)C(O)[C@H](O)CO
12,MNXM1020,C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)[O-]
13,MNXM1021,O=C([O-])CCCC(=O)[O-]
14,MNXM1022,C/C1=C2/[NH+]=C(/C=C3\\\\[NH+]=C(/C(C)=C4\\\\N[C@@](C)([C@@H]5[NH+]=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]4CCC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-]
15,MNXM1024,NC(=O)CCCC[C@@H]1CCSS1
16,MNXM1026,O=[Mo](=O)(O)O
17,MNXM1028,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
18,MNXM10284,O=C([O-])c1cc2cc(O)c(O)cc2[nH]1
19,MNXM1029,CC(O)CN
20,MNXM103,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
21,MNXM1031,O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]
22,MNXM10347,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(=O)(=O)[O-])CC[C@@H]12
23,MNXM1037,NC(=[NH2+])NCCCC(=O)C(=O)[O-]
24,MNXM1039,CC(C)=CCCC(C)=CCCC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C
25,MNXM1045,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
26,MNXM1047,C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)[C@@H](CCC(=O)O)[C@@H]2C
27,MNXM10471,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCC(=O)[O-]
28,MNXM1051,[NH3+][C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)[O-])C(=O)[O-]
29,MNXM105630,O=S([O-])[O-]
30,MNXM1057,O=CCc1c[nH]c2ccc(O)cc12
31,MNXM105848,CC(C)CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
32,MNXM1062,CC(=O)N[C@@H](CCC=O)C(=O)[O-]
33,MNXM1066,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
34,MNXM106625,CCCCCCCCCCCCCCCCCC(=O)OC
35,MNXM1067,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
36,MNXM107,O=N[O-]
37,MNXM10720,Cc1cc(=O)n(-c2ccccc2)n1C
38,MNXM10780,CCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
39,MNXM107973,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCC(C)CCCCCCCC
40,MNXM108,CCCCCCCCCCCCCCCC(=O)[O-]
41,MNXM1080,
42,MNXM10806,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\\\\C)CC/C=C(\\\\C)CC/C=C(\\\\C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O
43,MNXM10881,[C-]#[O+]
44,MNXM1089,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
45,MNXM1092,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
46,MNXM10921,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
47,MNXM10930,CC(C)CCC[C@@H](C)C1CCC2C3CC=C4C[C@@H](OC([*])=O)CC[C@]4(C)C3CC[C@@]21C
48,MNXM10936,
49,MNXM10937,
50,MNXM10939,
51,MNXM10940,
52,MNXM10943,
53,MNXM10944,
54,MNXM10945,
55,MNXM10946,
56,MNXM10954,
57,MNXM10955,
58,MNXM10956,
59,MNXM10957,
60,MNXM10958,
61,MNXM10959,
62,MNXM10980,C=C(C/C=C(/C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(C)C
63,MNXM11,O=P([O-])([O-])OP(=O)([O-])O
64,MNXM1104,O=C([O-])C[C@H]1C=CC(=O)O1
65,MNXM1105,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])OP(=O)([O-])OC[C@H]6O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)[C@H](O)[C@@H]6O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
