,MetaNetX ID,SMILES
66,MNXM1106,CC(=O)C[NH3+]
67,MNXM1109,C=C(/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
68,MNXM111,[Fe]
69,MNXM11131,CC/C=C\\\\C/C=C\\\\C/C=C\\\\C/C=C\\\\C/C=C\\\\CCCCCC(=O)[O-]
70,MNXM1115,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1
71,MNXM1119,C[S](C)CCC([NH3+])C(=O)[O-]
72,MNXM112,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
73,MNXM1122,NC(=O)NC(=O)[O-]
74,MNXM1123,O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])C2
75,MNXM1128,[NH3+]C1(C(=O)[O-])CC1
76,MNXM11293,O=C(COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H](O)CO
77,MNXM113,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
78,MNXM1130,O=C(O)/C=C\\\\c1ccc(O)c(O)c1
79,MNXM1132,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)[O-]
80,MNXM1134,O=C([O-])/C=C\\\\C(=C/C(=O)[O-])C(=O)[O-]
81,MNXM1135,Cc1ncc(COP(=O)([O-])OP(=O)([O-])[O-])c(N)n1
82,MNXM11353,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
83,MNXM1137,O=C1N=C2NC(=O)N[C@@]2(O)C(=O)N1
84,MNXM114,O=C([O-])[C@@H]1CCC[NH2+]1
85,MNXM1140,C[C@H]([NH3+])[C@H]([NH3+])CCCCCC(=O)[O-]
86,MNXM114079,CC(=O)[C@](C)(O)C(=O)[O-]
87,MNXM114087,CC(=O)[C@H]([NH3+])C(=O)[O-]
88,MNXM114091,O=C([O-])[C@@H]1C[C@@H](O)C=N1
89,MNXM114097,CC(C)(O)[C@@H](O)C(=O)[O-]
90,MNXM1141,OCCO
91,MNXM114119,O=C1C[C@@H](O)[C@H](O)[C@@H](O)C1=O
92,MNXM1142,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
93,MNXM114216,CC(=O)N[C@@H](CS)C(=O)N[C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
94,MNXM114220,CC[C@](O)(C(C)=O)C(=O)[O-]
95,MNXM114261,O=C(O)C1=CC=CC(O)C1O
96,MNXM11427,CCCCC/C=C\\\\C/C=C\\\\C/C=C\\\\C/C=C\\\\C/C=C\\\\CCC(=O)[O-]
97,MNXM114295,Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3OC(C)C([NH3+])C(O)C3O)O2)c(=O)[nH]c1=O
98,MNXM114303,CCCCCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
99,MNXM11432,CCCCCCCCCCCC=O
100,MNXM114348,
101,MNXM11435,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\\\\CCC(C)CCOP(=O)(O)OP(=O)(O)O
102,MNXM114390,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)[C@@H](N)CO)[C@@H](O)[C@H]1O
103,MNXM1144,O=C([O-])/C=C\\\\C=C\\\\C(=O)[O-]
104,MNXM114412,[NH3+]CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]
105,MNXM114434,O=C(O)CCCC[C@H](C(=O)O)[C@@H](O)C(=O)O
106,MNXM114594,
107,MNXM11474,CC/C=C\\\\C/C=C\\\\C/C=C\\\\C/C=C\\\\CCCCCCC(=O)O
108,MNXM1148,[NH3+]CCC[C@@H]([NH3+])C(=O)[O-]
109,MNXM11489,COC(=O)C/C=C/C(=O)S[*]
110,MNXM11490,COC(=O)CCC/C=C/C(=O)S[*]
111,MNXM115,[*]C(=O)OCC(COP(=O)(O)OCCN)OC([*])=O
112,MNXM1152,[NH3+]CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]
113,MNXM11520,CCCCCCCC/C=C\\\\CCCCCCCCCCCC(=O)[O-]
114,MNXM1153,CC(=O)NCCCC[NH3+]
115,MNXM1154,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS
116,MNXM1160,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)([O-])OP(=O)([O-])[O-])CN2
117,MNXM11605,[NH3+]C(CCCC[NH2+]C1OC(COP(=O)([O-])O)C(O)C(O)C1O)C(=O)[O-]
118,MNXM1163,O=C(O)C/C(=C/C=C(/O)C(=O)O)C(=O)O
119,MNXM11641,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
120,MNXM11643,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
121,MNXM11644,
122,MNXM11645,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
123,MNXM11646,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
124,MNXM1168,C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O
125,MNXM117,NC(N)=O
126,MNXM1170,O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
127,MNXM11700,COC(=O)CCCC(=O)S[*]
128,MNXM11731,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]5(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
129,MNXM1176,C[C@H](O)CC(=O)C(=O)[O-]
130,MNXM1177,[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
131,MNXM11778,CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[*])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1NS(=O)(=O)[O-]
132,MNXM1178,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O
133,MNXM118,[NH3+]CCCC[NH3+]
134,MNXM11802,CCCCCCCCCCCCCCCCC(=O)[O-]
135,MNXM11814,CCCCCCS(=O)(=O)[O-]
136,MNXM1183,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
137,MNXM1184,O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
138,MNXM11849,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
139,MNXM11852,CCCCCCCC/C=C\\\\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
140,MNXM1189,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1
141,MNXM119,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
142,MNXM1191,N#C[O-]
143,MNXM1193,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])[O-])O[C@H]1N2
144,MNXM1199,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
145,MNXM12,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
146,MNXM1202,CC[C@@](C)(O)[C@@H](O)C(=O)[O-]
147,MNXM1206,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
148,MNXM121,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
149,MNXM1212,O=C([O-])CCC(=O)c1ccccc1C(=O)[O-]
150,MNXM12129,CCCCC[C@H](O)/C=C/C=C\\\\C=C\\\\C=C\\\\[C@@H](O)[C@@H](O)CCCC(=O)[O-]
151,MNXM12130,CCC=CC[C@H]1C(O)CC(=O)[C@H]1C=C[C@@H](O)C/C=C\\\\C/C=C\\\\CCC(=O)[O-]
152,MNXM1214,O=C([O-])C(=O)CS
153,MNXM1218,O=C([O-])C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
154,MNXM12187,[*]O[C@@H]1[C@@H](CO)O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
155,MNXM1219,O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
156,MNXM1223,CC(=O)CC(=O)S[*]
157,MNXM12233,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O
158,MNXM12235,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
159,MNXM12236,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
160,MNXM1224,Cc1cc2ncn([C@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2cc1C
161,MNXM1226,[NH3+]CCS
162,MNXM123,[NH3+][C@@H](CCS)C(=O)[O-]
163,MNXM12305,
164,MNXM1231,NC=O
165,MNXM12324,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(/C)CC/C=C(\\\\C)CC/C=C(\\\\C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
166,MNXM1233,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
167,MNXM1238,O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
168,MNXM1239,O=C([O-])/C=C\\\\C(=O)[O-]
169,MNXM124,[NH3+]CCCC[NH2+]CCC[NH3+]
170,MNXM12419,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](OC[C@H]3O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O[C@@H]5[C@@H](CO[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)O[C@@H](NC(=O)C[C@H](N)C(=O)O)[C@H](NC(C)=O)[C@H]5O)[C@H](NC(C)=O)[C@H]4O)[C@@H](O)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
171,MNXM1243,NC(=O)NCCCC[NH3+]
172,MNXM1246,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[n-]c(=O)[nH]c(=O)c1N2
173,MNXM12466,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
174,MNXM12471,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
175,MNXM12473,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
176,MNXM12480,CCCCCCCCC(=O)[O-]
177,MNXM1249,O=C(O)CCC(=O)C1=CC=CC(O)C1C(=O)O
178,MNXM12496,C[N+](C)(C)C[C@@H](CC(=O)[O-])OC([*])=O
179,MNXM125,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
180,MNXM1253,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]
181,MNXM1255,C[C@H](O)CO
182,MNXM1256,C[N+](C)(C)CCOP(=O)([O-])OCC(O)CO[*]
183,MNXM12596,CC1(C)S[C@H]([C@H](NC([*])=O)C(=O)O)N[C@H]1C(=O)O
184,MNXM126,O=C([O-])[C@H](O)COP(=O)([O-])[O-]
185,MNXM12612,[*]NC(=O)[C@H](CCCCN)NC([*])=O
186,MNXM12618,[*]
187,MNXM1263,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCO
188,MNXM1264,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)[O-]
189,MNXM12647,[*]C(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])[O-])OC([*])=O
190,MNXM1265,O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1
191,MNXM1269,CC(=O)S[*]
192,MNXM12694,COC(=O)CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O
193,MNXM12695,CC(C)(COP(=O)([O-])OC[C@H](N[*])C([*])=O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)[O-]
194,MNXM127,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
